,sentence,subject,object,label,memo
0,"가나 요리(Ghana 料理, )는 서아프리카에 있는 가나의 요리이다.",,,,
1,다양한 종족과 민족이 거주하기 때문에 동서남북에 따라 음식의 형태나 관념이 많이 다르다.,,,,
2,"대개 쌀과 푸푸, 투오, 기기, 이튜, 아토 등으로 구성되며 대개는 소스와 수프이다.",,,,
3,"수프에는 달팽이, 생선, 고기, 버섯 등을 넣어 먹는다.",,,,
4,자주 먹는 음식은 다음과 같다.,,,,
5,대부분의 가나 음식은 한국식으로 하면 국이 꼭 따라 나온다.,,,,
6,대개는 고기류와 토마토가 들어간다.,,,,
7,대개는 땅콩이나 야자열매 등을 조금씩 떼다가 국물용으로 사용하는데 켄키나 반푸의 경우에도 꼭 국물과 함께 먹는다.,,,,
8,또 다른 대중적인 음식은 켈레웰레로서 밥과 국물을 먹는데 가끔씩은 그냥 후식으로 먹는다.,,,,
9,콘토미레라는 음식은 타로토란으로 요리하며 참치나 호박씨를 야자기름과 함께 볶아서 내오는 음식이다.,,,,
10,가나 음식은 대개 생선류나 곡류가 고루고루 나온다.,,,,
11,아프리카에서 보면 상당히 맛이 자극적인 음식에 속하며 적색이나 초록색 계열의 향신료를 많이 쓴다.,,,,
12,가나 음식점에서는 '반쿠나 티라피아'라는 요리가 가장 인기 있다고 할 수 있다.,,,,
13,생선의 경우에는 직접 구워서 먹는 것이 가장 흔하며 곡류는 옥수수를 쓰는 요리가 많다.,,,,
14,가나 요리는 다채로운 향신료와 재료를 쓰고 다양한 민족의 경험이 고스란히 반영돼 있기에 많은 재료가 등장하는 만큼 맛이 다양하다.,,,,
15,"타임이나 베이 등의 허브를 비롯해 야생 버섯, 생강, 마늘, 양이나 돼지 따위의 족 등이 많이 쓰인다.",,,,
