,sentence,subject,object,label,memo
0,"그리스 요리(Greece 料理, )는 동남유럽에 있는 그리스의 요리이다.",,,,
1,"그리스 전역과 그리스인들의 요리 방식인 그리스 요리는 전형적인 지중해식 식단의 표본이라고 할 수 있으며 스페인, 아랍, 이탈리아의 요리 문화와도 많은 연관성을 지니고 있다.",,,,
2,그리스 식단에서 찾아볼 수 있는 가장 독특하고 오래된 요소는 올리브유인데 거의 대부분 요리에 등장한다.,,,,
3,올리브는 그리스 전역에서 생산되어 각 가정을 비롯해 그리스의 요리에 독특함을 더한다.,,,,
4,"그리스 식단의 기본이 되는 곡류로는 밀이 있고 토마토와 감자, 녹색 콩, 고추, 양파가 주요 채소이다.",,,,
5,그리스 요리는 타 지중해 국가의 음식에 비해 향신료를 좀 더 쓰는 편이다.,,,,
6,"마늘이나 양파를 기본으로 해서 허브의 일종인 오레가노(oregano)와 미나리과의 식물인 딜, 월계수 잎을 음식에 첨가하기도 한다.",,,,
7,"바실이나 타임, 회향 열매도 자주 쓰는 재료에 포함된다.",,,,
8,"양고기나 돼지고기, 페타 치즈, 포도 나무의 잎, 주키니, 요구르트도 많이 먹는 음식이다.",,,,
9,지형적 특성상 염소나 양을 키우기 편한 탓에 소고기로 만든 요리를 쉽게 찾기 어렵다.,,,,
10,생선 요리가 흔한데 해안 가와 섬 지방에는 명물로 통할 것이다.,,,,
11,치즈 종류가 많아서 식단에 자주 등장하며 파이도 많이 먹는 음식이다.,,,,
12,"현대 그리스 요리 방식은 올리브유와 와인, 생선, 다양한 육고기까지 아우르는 건강한 식단이다.",,,,
13,이때 육류 종류에는 때로 소고기가 포함되기도 한다.,,,,
14,그리스의 요리는 수천년 전으로 거슬러 올라간다.,,,,
15,따라서 수세기에 걸쳐 그리스 내에서도 음식의 조리법이나 형태가 많은 변화를 겪었으며 한편으로는 타지의 요리를 흡수하여 자국화하는 방향으로 나아갔다고 보는 것이 좋을 것이다.,,,,
16,때문에 다른 나라의 요리에도 큰 영향을 끼쳤다.,,,,
17,예를 들면 프랑스 요리에서는 아 라 그리케()라고 하여 올리브유와 레몬을 뿌려 요리하는 방식을 지칭하곤 하는데 그리스 요리법을 말하는 것이다.,,,,
18,"트라하나, 스코르달리아, 렌즈콩 수프, 포도주 따위의 음식은 고대 그리스 때부터 기원하였다.",,,,
19,"헬레니즘 시대와 로마 시대를 거쳐 탄생한 요리인 루카니코(loukaniko), 비잔틴 제국기에 나온 페타 치즈나 아브고타라호(avgotaraho) 등이 있다.",,,,
20,사실 훨씬 더 많은 요리가 있겠지만 고대 때나 비잔틴 제국 시기 때 나온 요리법 중에 지금은 행하지 않는 경우도 상당하다.,,,,
21,오스만 풍의 요리 영향을 받은 경우도 상당히 많지만 그 방식을 모두 베껴온 것이라고는 보기 어려워 지금 남아있는 음식 종류에서는 그리스 식의 느낌이 더 짙게 나타난다.,,,,
22,최근에는 미국식 식습관이 그리스와 전 유럽에 퍼지면서 패스트푸트 체인점인 구디스(Goody's)가 널리 퍼져 있다.,,,,
23,패스트푸드 점이 전국에 문을 열어 성업 중이지만 다수의 그리스인들은 올리브 유를 기초로 한 전통 음식에 길들여져 있다.,,,,
24,게다가 그리스 전통 후식이 패스트푸드 식으로 제공되기도 하기 때문에 아예 미국식 음식을 먹는다고 하기에는 무리가 있다.,,,,
25,그리스인들에게 외식을 하는 일은 아주 흔하다.,,,,
26,타베르나(taverna)라고 하는 그리스 전역의 작은 음식점이 있어서 적당한 가격이라면 관광객이든 지역 주민들이든 할 것 없이 전통 그리스 요리를 맛볼 수 있다.,,,,
27,그리스 전국에 다양한 종류의 냉장고가 있다. 하지만 선전이나 특별한 점이 없는 종류가 많아서 그리스 사람이 아니라면 많은 냉장고를 알기란 어려운 일이다.,,,,
28,대개 냉장고는 작은 가족농이 만들어서 팔기 때문에 각기 독특한 맛이 난다.,,,,
