,sentence,subject,object,label,memo
0,"노르웨이 요리(Norway 料理, )는 북유럽에 있는 노르웨이의 요리이다.",,,,
1,노르웨이는 주변이 산악 지대나 바다로 둘려싸여 있고 야생이 그대로 살아있는 특성 때문에 가능한 한 날 것으로 요리를 해먹는 것이 전통이다.,,,,
2,그렇지만 각 지방마다 상황에 따라 요리의 특성이 두드러지게 나타나는 경우도 있다.,,,,
3,내륙과 해안이 그 예일 것이다.,,,,
4,근현대에 와서도 전통 방식이 강하게 남아있지만 다른 점이 있다면 현대적인 모습으로 변해가고 있다는 것이 있다.,,,,
5,"피자, 파스타도 아주 흔하게 찾아볼 수 있고 다른 유럽 지역의 대도시와 사실상 마찬가지로 많은 나라의 요리와 식사 거리를 제공한다.",,,,
6,국제적으로 알려져 있는 노르웨이의 대표적인 요리가 있다면 단연 직화 연어 구이일 것이다.,,,,
7,근래에는 주요 수출 품이기도 한데 이 요리는 노르웨이가 자국을 넘어 전 세계적으로 영향을 끼친 가장 중요한 요리 방식의 한 대목이기도 하다.,,,,
8,"연기를 피워 연어를 구워먹는 것은 전통적으로 그 방식이 많은 차이가 있지만 으깬 달걀과 샌드위치, 겨자 소스와 곁들여져서 나오는 게 보통이라고 생각하면 된다.",,,,
9,과거에는 노르웨이 산 대구() 건어물이 주요 수출품이었다.,,,,
10,대서양과 북해에 서식하는 대구는 이동을 거듭하기 때문에 수천 년간 인근의 어획량을 풍성하게 유지하게 하였다.,,,,
11,때문에 대구는 노르웨이뿐만 아니라 전 세계적으로도 주요한 식 재료가 되기도 하였는데 이베리아 반도나 아프리카 연안 등지에서도 그랬다.,,,,
12,"어류의 일종인 연어나 청어, 고등어도 해안가에서는 많이 잡히기 때문에 말려서 먹거나 간을 하기도 한다.",,,,
13,물론 구워먹거나 전통 방식으로 다른 재료와 함께 절여서 먹는 방법도 있다.,,,,
14,고급스러운 노르웨이의 요리는 대개 사슴 요리나 거위 혹은 가금류를 조리하는 방식이다.,,,,
15,전국적으로 가금류 고기가 유통이 되며 대개는 사냥을 하고 선물로 잡은 것을 주기도 한다.,,,,
16,하지만 그렇다고 해서 흔히 접할 수 있는 요리는 아니며 성대한 명절이나 기념일을 맞아 먹는다.,,,,
17,고기류를 요리할 때 나는 진한 향 때문에 강한 소스가 첨가돼야 한다.,,,,
18,예를 들면 베리 종류를 으깨서 소스를 만든다거나 달콤한 잼을 발라서 만드는 것은 그런 이유가 있어서다.,,,,
19,고기와 소시지 종류는 놀라울 정도로 지역에 따라 다양한데 대개는 사워크림(sout cream)이나 얇은 크래커(flat bread)와 함께 먹는다.,,,,
20,특별히 연기를 피워서 구워 먹는 소시지의 일종인 페나롤()이 있는데 지역마다 각기 방식이 달라서 생각하는 것이 다를 수도 있다.,,,,
21,중세 초기 때부터 죽은 말에 손을 대서는 안 된다는 금기 사항이 있기 때문에,,,,
22,양고기는 가을에 흔하고 양배추와 함께 조려서 먹는 포리콜()가 대표적인 예일 것이다.,,,,
23,노르웨이 서부 지역에서는 크리스마스가 다가오면 양고기를 연깃불에 구워 먹는데 이것을 피네쇼트()이라고 부른다.,,,,
24,고래 사냥이 산업적으로 발달했던 20세기 초반까지만 해도 쇠고기를 대신해 고래고기가 많이 소비되었다. 하지만 최근에는 고래가 귀해진데다 가격이 많이 올랐고 고래고기의 특성상 금방 변질되어서인지 사람들이 많이 찾지는 않는다.,,,,
