,sentence,subject,object,label,memo
0,"독일 요리(獨逸料理, )는 중앙유럽에 있는 독일의 요리이다.",,,,
1,"남쪽 지방의 경우에는 스위스, 오스트리아의 요리 방식과 유사한 형식을 취한다.",,,,
2,독일에는 수많은 돼지고기 요리가 있다.,,,,
3,돼지고기 다음으로는 닭고기가 가장 많이 소비된다.,,,,
4,"오리, 칠면조, 거위 등도 많이 찾는 편이다.",,,,
5,"가금류 고기는 전역에서 찾아보기 가장 쉬운 반면, 양고기, 염소고기, 소고기 등은 그다지 인기가 없다.",,,,
6,대개 육류는 냄비에 끓여서 조리한다.,,,,
7,물론 팬에 구워 먹는 경우도 흔하지만 최근 이런 류의 육류 제품은 거의 프랑스에서 수입된다.,,,,
8,주로 소시지 형태로 고기를 많이 먹기 때문에 독일에만 1500여 가지에 이르는 소시지 종류가 있다.,,,,
9,"바닷물 어류에서는 명태를 가장 많이 먹으며, 잉어나 농어도 자주 등장한다.",,,,
10,"해산물은 원래 북부 지방에서만 먹을 수 있었던 별식이었지만 최근에는 독일 전역에서 먹을 수 있으며 참치나 청어, 연어 요리가 인기 있다.",,,,
11,산업혁명 전에는 연어가 라인강과 엘베강 등지에 흔했지만 산업 발달이 급속하게 이뤄지면서 한동안 연어를 바로 잡아 먹기 힘들었다. 하지만 강력한 환경 정책과 더불어 100년 전에 비해서 많이 수질이 개선된 편이다.,,,,
12,최근에는 독일 내륙 강가에서 어종의 분포가 많이 늘었다.,,,,
13,"스튜나 채소 수프에 채소를 넣어 먹지만, 채소를 곁들여 먹는 것도 흔하다.",,,,
14,"당근이나 컬리플라워, 시금치 완두,를 비롯해 양배추, 순무도 많이 먹는다.",,,,
15,양파를 구워서 육류 메인 요리에 곁들여 먹는 것은 독일 전역에서 찾아볼 수 있을 것이다. 하지만 감자는 독일인들이 생각하기에 많이 먹는 요리여서인지 채소로 따로 취급하지는 않는다.,,,,
16,특별히 흰 아스파라거스를 재료로 해서 먹기도 한다.,,,,
17,"주요리와 곁들여 먹는 요리로는 국수 종류가 있는데 이탈리아의 파스타보다는 많이 두꺼운 편이며, 노른자를 곁들인다.",,,,
18,독일 남서부 지방에서는 노른자를 많이 함유한 슈페츨레(Spätzle)를 먹기도 한다.,,,,
19,이외에도 감자나 독일식 과일 푸딩도 많이 곁들여 먹었다.,,,,
20,최근에는 감자 대신에 쌀 요리를 즐기기도 한다.,,,,
21,"하지만 어찌 되었든 감자가 가장 전통적인 요리 재료이며, 대개는 으깨서 감자를 볶아 먹는다.",,,,
22,"최근에는 프랑스식 감자 튀김(폼메스 프리테스, Pommes Frites)이 아주 흔해졌다.",,,,
23,맥주는 많은 사람들이 알다시피 전국적으로 가장 사랑받는 독일인들의 음료인데 지역마다 지방 특유의 맥주가 많이 있다.,,,,
24,오늘날 필스 맥주가 가장 흔하며 남쪽에서는 밀 맥주를 많이 마신다.,,,,
25,쾰른 지방에서는 필스 맥주보다 독일 전통 방식을 취하고 있는 라거의 특성을 가진 에일로 유명한 쾰시(Kölsch) 맥주가 있다.,,,,
26,지역마다 아주 다양한 특징이 있는데 1990년에 통일이 되면서 동독에서만 찾아볼 수 있었던 흑맥주인 슈바르츠비어(Schwarzbier)가 독일 전체적으로 인기를 얻게 되었다.,,,,
27,머스터드를 소시지에 함께 먹는 것이 가장 흔하다.,,,,
28,Mittelscharf라고 하는 소스가 가장 흔한 것인데 영국식과 프랑스식의 중간 쯤 된다.,,,,
29,남쪽 지방에서는 다소 단맛을 띠는 머스터드를 만들어 먹기도 한다.,,,,
30,"겨자무를 소스 재료로 많이 쓰기도 하고, Sahnemeerettich라고 하는 크림을 페이스트에 발라서 먹기도 한다.",,,,
31,이 크림이 어떤 지방에서는 머스터드를 대신하기도 한다.,,,,
32,원래의 전통 독일 요리에서는 마늘이 거의 쓰이지 않았지만 최근에는 다른 유럽 국가들의 영향으로 마늘의 소비가 크게 늘어나고 있는 추세다.,,,,
33,곰마늘(Bear garlic)을 넣는 오랜 방식을 최근에는 다시 쓰고 있기도 하다.,,,,
34,머스터드를 제외하고서 독일 요리는 맵거나 톡 쏘는 맛이 거의 없다.,,,,
35,"파슬리, 타임, 차이브 따위가 예부터 많이 쓰여왔지만 후추나 캐러웨이를 가장 많이 쓴다.",,,,
36,성탄절이 가까워 오면 달콤한 슈톨렌(Stollen)이라고 불리는 케이크와 글뤼바인(Glühwein)이라는 따뜻한 와인을 곁들여 먹는데 케이크에는 아니스나 계피를 곁들이기도 한다.,,,,
37,"케이크, 타르트, 페이스트리를 가장 많이 즐기는데, 대개는 과일을 곁들인다.",,,,
38,"사과나 딸기, 체리를 많이 쓴다.",,,,
