,sentence,subject,object,label,memo
0,"모로코 요리(Morocco 料理, )는 북아프리카 마그레브 지역에 있는 모로코의 요리이다.",북아프리카,모로코,1,
0,"모로코 요리(Morocco 料理, )는 북아프리카 마그레브 지역에 있는 모로코의 요리이다.",북아프리카 마그레브,모로코,1,
1,세계에서도 가장 다채로운 요리로 손꼽힌다.,세계,요리,0,
2,"이는 모로코라는 국가 자체가 이슬람계를 비롯해 베르베르인, 무어인, 지중해 국가 출신자, 아프리카인, 스페인 출신 등의 이베리아계 주민, 유태인 등 다양한 인종의 영향을 받았기 때문이다.",모로코,이슬람,0,종교를 나타내거나 포함할 수 있는 entity가 필요
3,예로부터 왕실에서 전해지던 왕실 요리를 비롯해 수많은 민족의 요리가 지금의 모로코 요리가 있기까지 지대한 영향을 끼쳤다.,왕실,왕실 요리,4,"산지: 특산물’(8)의 범위를 확대해서, ‘지역:대표음식’으로 확대하는건?"
4,수많은 문명이 머물러 가는 기착지로 여겨졌던 모로코는 이 때문에 수많은 영향을 받았다.,기착지,모로코,0,
5,베르베르인이 옛날부터 거주했으므로 그들의 음식이 뿌리를 두었다면 그 뿌리는 다양하게 뻗어 내려 아랍식 안달루시아 요리를 스페인계 주민에 의해 이어 받았고 터키인들에 의해 터키 요리가 다시 자리잡았다.,터키 요리,아랍식 안달루시아 요리,0,
5,베르베르인이 옛날부터 거주했으므로 그들의 음식이 뿌리를 두었다면 그 뿌리는 다양하게 뻗어 내려 아랍식 안달루시아 요리를 스페인계 주민에 의해 이어 받았고 터키인들에 의해 터키 요리가 다시 자리잡았다.,스페인계 주민,아랍식 안달루시아 요리,0,
5,베르베르인이 옛날부터 거주했으므로 그들의 음식이 뿌리를 두었다면 그 뿌리는 다양하게 뻗어 내려 아랍식 안달루시아 요리를 스페인계 주민에 의해 이어 받았고 터키인들에 의해 터키 요리가 다시 자리잡았다.,터키인,터키 요리,4,
6,뿐만 아니라 유태인계 요리도 다수 남아 있다.,유태인,요리,0,
7,중세 피난민들은 바그다드를 떠나 모로코에 정착했고 그들의 요리법은 다시 모로코에 적용되었지만 중동에서는 사라졌다.,중세 피난민,그들의 요리법,0,
7,중세 피난민들은 바그다드를 떠나 모로코에 정착했고 그들의 요리법은 다시 모로코에 적용되었지만 중동에서는 사라졌다.,모로코,그들의 요리법,0,8의 범위 확대 필요
7,중세 피난민들은 바그다드를 떠나 모로코에 정착했고 그들의 요리법은 다시 모로코에 적용되었지만 중동에서는 사라졌다.,중세 피난민,모로코,0,*
8,이는 12세기 기독교인들에 의해 전해진 요리법에 따라 파악된 것으로서 현재의 모로코 요리법이 과거 12세기의 것과 상당히 흡사한 점이 강하다고 한다.,기독교인들에 의해 전해진 요리법,과거 12세기의 것,0,
9,"대체적으로 과일과 육류를 함께 조리하며 양고기나 살구, 닭고기를 많이 쓴다.",육류,양고기,1,
9,"대체적으로 과일과 육류를 함께 조리하며 양고기나 살구, 닭고기를 많이 쓴다.",육류,닭고기,1,
9,"대체적으로 과일과 육류를 함께 조리하며 양고기나 살구, 닭고기를 많이 쓴다.",육류,살구,0,
10,아랍계 피난민의 영향력이 커서 스페인에서 쫓겨나 남하한 사람들이 이곳에 정착하면서 많은 영향을 끼쳤다.,아랍계 피난민,스페인,0,
11,모로코에서는 지중해 원산 식물이 많이 나기 때문에 열대 과일뿐 아니라 다양한 야채가 많이 난다.,지중해,모로코,1,
11,모로코에서는 지중해 원산 식물이 많이 나기 때문에 열대 과일뿐 아니라 다양한 야채가 많이 난다.,지중해,열대 과일,4,
12,또한 양이나 소 뿐 아니라 해산물도 많이 나서 그 풍미와 풍부함이 더욱 더해지는 결과를 낳았다.,해산물,풍미,0,
13,향신료는 모로코 음식에서 아주 널리 쓰이며 수천년 전에 수입됐다.,모로코,향신료,0,8의 범위 확대 필요
14,"당시부터 샤프란이나 민트, 올리브, 오렌지, 레몬 등은 예부터 일대에 자라기도 했고 외국의 영향을 받아 더욱 더 다양해졌다.",샤프란,오렌지,0,
15,"대개 시나몬이나 큐민, 심황, 생강, 흑후추, 파프리카, 참깨, 코리안더, 파슬리 등을 많이 사용한다.",시나몬,파슬리,0,
16,점심식사가 하루 세 끼 중 가장 중요하다.,하루 세 끼,점심식사,1,
18,보통 식사 때는 뜨겁거나 차가운 샐러드를 먹고 뒤이어 빵이 나오는데 빵은 항시 등장하는 단골손님이다.,샐러드,빵,0,
19,양 혹은 닭고기가 다음에 나오며 야채와 고기를 조린 스프가 다음을 잊는다.,스프,고기,2,
20,마지막 순서는 달콤한 민트차이다.,마지막,민트차,0,식자재: 제철 -> ‘식자재: 대표시간’으로 바꿀 필요가 있어 보인다.
21,모로코 인들이 손가락으로 식사를 하는 것은 흔하며 그들에게 있어 손가락이 주방기구와도 같다.,식사,손가락,0,
22,모로코 요리는 대개 쿠스쿠스로 친숙하며 베르베르 민족의 유산으로 여겨진다.,모로코 요리,쿠스쿠스,1,
23,소고기는 대개 생고기 그대로 먹거나 조리해서 먹는데 양고기가 더 고급스러운 것으로 인식되나 비싸서 흔치 않다.,소고기,양고기,0,
24,가금류의 경우에는 역사적으로도 오랫동안 사용됐으며 해산물의 중요성이 날로 커지고 있다.,가금류,해산물,0,
25,북아프리카에서 사육하는 양들은 대개 지방질이 꼬리에 모여 있는데 이는 유럽산 양들과 달라서 유럽의 양고기가 대개 시큼하거나 톡 쏘는 맛이 있다면 모로코 양고기는 맛이 독하지 않고 차분하다.,북아프리카에서 사육하는 양,모로코 양고기,1,
26,"가장 유명한 요리는 쿠스쿠스와 파스티야, 타지네 등이 있다.",요리,쿠스쿠스,1,
27,"수프 등도 요리 자체로 취급되기도 하는데 이는 과일이나, 쇠고기 등을 이용하여 요리해 내오기 때문이다.",수프,과일,2,
