,sentence,subject,object,label,memo
0,"브라질 요리(Brazil 料理, )는 남아메리카 동부에 있는 브라질의 요리이다.",,,,
1,유럽·아프리카 이민자와 아메리카 원주민 요리의 영향을 받아 형성되었다.,,,,
2,"이는 포르투갈, 아프리카, 이탈리아, 스페인, 독일, 폴란드, 시리아, 레바논에서 일본에 이르기까지 전 세계에서 유입된 이민 인구 구성을 반영하며, 지역마다 인종 구성이 다르기 때문에 이에 따른 식문화 차이도 크다.",,,,
3,"아침 식사는 ""아침의 커피""라는 뜻의 ""카페 다 마냥()""으로 부르며, 과일, 빵·케이크, 버터, 런천미트, 치즈, 커피, 우유, 주스 등을 먹는다.",,,,
4,"흔히 먹는 빵으로 팡 지 포르마(식빵), 팡 프란세스(프랑스빵), 바게치(바게트), 팡 시리우(시리아빵) 등이 있으며, 지역에 따라 빵에 버터나 마가린, 카투피리(헤케이장) 등을 발라 구운 팡 나 샤파, 빵에 투쿠망 등 소를 넣은 샌드위치인 시스 카보키뉴 등을 먹기도 한다.",,,,
5,"브로아 등의 옥수수빵, 팡 지 케이주나 시파 등의 치즈빵, 아보아도르 등 비스킷·쿠키도 흔히 볼 수 있다.",,,,
6,볼루 지 홀루(롤케이크)나 쿠카(슈트로이젤쿠헨) 등 여러 케이크도 흔한 아침 메뉴이다.,,,,
7,"지역에 따라 소를 넣거나 넣지 않은 베이주(타피오카 팬케이크), 볼루 지 쿠스쿠스(쿠스쿠스 케이크) 등을 아침 식사로 먹기도 한다.",,,,
8,"아침에 링구이사 등 소시지나 살라미, 프레준투(햄) 등 여러 가지 훈제·염지 가공육(런천미트), 카르니 세카나 카르니 지 소우 등 마른고기, 달걀 프라이 등을 빵 사이에 끼워 먹기도 한다.",,,,
9,지역에 따라 마른고기를 넣어 조리한 아호스 카헤테이루 등 쌀밥을 아침에 먹는 경우도 있다.,,,,
10,"카나스트라 치즈 등 미나스 치즈는 브라질 전역에서 유명하며, 북동부 지역에서는 코알류 치즈를 즐겨 먹는다.",,,,
11,"빵에 잼이나 젤레, 콩포트 등 과일 프리저브를 곁들이기도 하며, 생과나 구운 과일을 먹기도 한다.",,,,
12,"구아바, 망고, 멜론, 오렌지, 수박, 코코넛, 파인애플, 파파야 등이 흔히 먹는 과일이다.",,,,
13,"구아바, 아세롤라, 오렌지, 바나나, 파인애플, 패션프루트 등을 갈아 생과일 주스로 마시기도 한다.",,,,
14,코코넛워터도 흔한 과일 음료이다.,,,,
15,"커피는 드립 커피를 블랙으로 마시기도 하고, 우유를 넣은 카페 콩 레이치(밀크 커피)나 핑가두, 메지아, 코르타두 등을 마시기도 한다.",,,,
16,"카푸치노도 흔한 커피 음료이며, 에스프레소 음료를 파는 커피집도 늘고 있다.",,,,
17,"차는 전통적인 아침 음료가 아니지만, 커피 대신 마시기도 한다.",,,,
18,아침에 전통적으로 테레레(차가운 마테 음료)를 마시는 지역도 있다.,,,,
19,"점심 식사는 가장 든든한 끼니로, 쌀밥과 페이장(콩 요리), 고기 또는 생선 요리, 샐러드와 후식 등으로 구성된다.",,,,
20,백미나 현미 쌀밥에 페이장(검정거북콩 스튜)을 곁들인 아호스 이 페이장은 어디에서나 볼 수 있는 가장 기본적인 음식으로 여겨진다.,,,,
21,"리소토나 파스타(스파게티, 탈리에리니, 라사냐 등)를 먹기도 하며, 야키소바나 비풍 등 아시아식 국수 요리도 흔히 먹는다.",,,,
22,스시나 포케 등의 쌀밥 요리도 흔하다.,,,,
23,"콩 요리인 페이장은 보통 스튜 같이 조리하지만, 페이장 트로페이루처럼 국물 없이 조리하기도 한다.",,,,
24,"고기 등 부재료를 넣은 것은 페이조아다라 부르며, 역시 쌀밥과 함께 먹는다.",,,,
25,주요리는 스테이크가 대표적이다.,,,,
26,"피카냐나 아우카트라 등 여러 가지 쇠고기 부위를 구워 먹으며, 달걀 프라이를 올린 비피 아 카발루나 빵가루를 입혀 튀긴 비피 아 밀라네자, 크림소스를 사용한 이스트로가노피 지 카르니, 치즈를 사용한 비피 아 파르메지아나 등을 흔히 볼 수 있다.",,,,
27,생선과 해산물 요리는 지역에 따라 조리법과 식용 빈도가 다르다.,,,,
28,세비체와 스시 등 날생선 요리도 흔히 볼 수 있다.,,,,
29,부식으로는 흔히 비나그레치 등 샐러드류를 곁들인다.,,,,
30,"쿠스쿠스나 퀴노아, 매시트 포테이토나 앙구, 감자튀김 등도 흔한 부식이다.",,,,
31,구운 파인애플 등 과일을 곁들이기도 한다.,,,,
32,"후식으로 다양한 ""도시()""를 먹는데, 대표적인 것으로 도시 지 레이치, 베이지뉴, 브리가데이루, 사구, 카주지뉴, 코카다, 킨징, 파베, 페 지 몰레키, 호메우 이 줄리에타 등이 있다.",,,,
33,지 레이치 콘덴사두 등 푸딩과 볼루 지 홀루 등 케이크도 흔히 먹는 후식이다.,,,,
34,"초콜릿과 과일 등을 넣은 피자 도시(단 피자)나 스시 도시(단 초밥)를 후식으로 먹기도 하며, 아사이 나",,,,
35,치젤라나 아이스크림 등 차가운 후식을 먹기도 한다.,,,,
36,"저녁 식사는 수프, 샌드위치, 샐러드, 파스타, 피자 등으로 가볍게 먹는 경우가 많다.",,,,
37,"국물 요리는 일반적인 수프를 뜻하는 소파(), 콩소메와 유사한 카우두(), 포타주와 비슷한 크레미() 등으로 나누기도 하며, 지역에 따라 모코토, 바카 아톨라다, 칸지키냐 등 여러 가지 전통 수프가 존재한다.",,,,
38,"샐러드는 상추·양상추, 야자심, 오이, 올리브, 카사바·아라카차, 토마토·방울토마토, 피망·파프리카 등 여러 가지 채소와 때때로는 오렌지, 자두 등 과일을 넣어 만든다.",,,,
39,"닭고기를 넣은 살피캉 등의 샐러드도 존재하며, 캔참치를 넣어 참치 샐러드를 만들어 먹기도 한다.",,,,
40,"오레가노, 바질, 파슬리 등 허브가 쓰이기도 한다.",,,,
41,"경식은 ""란시()""라 부르며, ""란쇼네치()""라 불리는 경식 가게에서 사먹는 경우가 많다.",,,,
42,"굽거나 튀긴 짭짤한 경식인 ""사우가지뉴()""는 이스피하, 임파나다, 코시냐, 키비, 파스테우 등이 있으며, 고기나 치즈, 카투피리(헤케이장) 등의 소가 든 것을 고를 수 있다.",,,,
43,그 외에도 핫도그나 햄버거·샌드위치가 흔한 경식이다.,,,,
44,"브라질에서 햄버거는 ""암부르게르()""로도 부르지만 ""시스살라다()"" 등 ""시스()"" 가 들어간 이름으로도 흔히 불린다. (이는 영어 ""치즈버거()""의 ""치즈()""가 변한 것이다.",,,,
45,"이중음자 ""ch""가 영어에서는 파찰음 로 발음되지만 포르투갈어에서는 마찰음 로 발음되며, 포르투갈어에는 장·단모음 구분이 없고, 음소배열제약에 따라 낱말 끝의 치찰음은 모두 무성음으로 발음되기 때문에, 영어 ""치즈 ""가 브라질 포르투갈어에서는 ""시스 ""가 된다.",,,,
46,"이는 포르투갈어 알파벳 """"를 부르는 이름과 발음이 같다.) 치즈와 고기 패티, 채소가 들어간 일반적인 햄버거는 ""시스살라다()""라 불리며, 계란 프라이가 추가된 것은 ""시스에그()"", 베이컨을 넣은 것은 ""시스베이콩()"" 등으로 부른다. ""시스투두()""도 흔한 햄버거 메뉴인데, 포르투갈어 ""투두()""는 ""모든 것""을 뜻하며, 따라서 ""시스투두""는 계란과 베이컨 등 모든 것이 추가된 햄버거를 가리킨다.",,,,
47,피카냐 등 스테이크를 넣은 햄버거도 흔하다.,,,,
48,"브라질에서 핫도그는 ""카쇼후켄치()""라 불리는데, 이는 ""강아지""를 뜻하는 ""카쇼후()""와 ""뜨겁다""라는 뜻의 ""켄치()""를 붙인 말로, 영어 ""핫도그""의 직역이다.",,,,
49,일반적인 핫도그 용 소시지인 사우시샤 이외에도 프랑크푸르트 소시지나 링구이사 등의 소시지가 쓰이기도 한다.,,,,
50,"토핑으로 칠리 콘 카르네나 등 다진 고기, 바삭바삭하게 튀긴 베이컨, 비나그레치나 콜슬로, 으깬 감자, 막대 감자, 체더, 모차렐라, 파르미자노 등 치즈, 카투피리(헤케이장) 등을 올리고, 케첩, 마요네즈, 머스터드 등 소스를 뿌려 먹는다.",,,,
51,북부 지방의 식문화는 원주민 및 포르투갈계 이민자의 영향이 강하게 드러난다.,,,,
52,"아마존 등 열대 우림에서 나는 카사바, 파라크레스 등 식물과, 골리앗메기, 공작농어, 파쿠, 피라냐, 피라루쿠 등 아마존강 지류에서 나는 민물생선이 여러 요리에 쓰인다.",,,,
53,"브라질너트 등을 넣어 만든 쿠키, 타피오카나 카사바가루, 바나나 등으로 만든 포리지, 새우나 게, 생선, 파라크레스 등을 넣어 만든 사우가두(), 쿠푸아수나 바쿠리 등 열대 과일로 만든 도시() 등도 흔한 북부 음식이다.",,,,
54,대표적인 음식은 다음과 같다.,,,,
55,북동부 지방의 식문화는 원주민 및 포르투갈계·아프리카계 이민자의 영향을 받아 형성되었다.,,,,
