,sentence,subject,object,label,memo
0,"세네갈 요리(Senegal 料理, )는 서아프리카에 있는 세네갈의 요리이다.",,,,
1,서아프리카 요리의 특질을 갖고 있지만 동시에 특질적인 면도 갖고 있다.,,,,
2,"가장 많은 수를 차지하는 월로프족을 비롯해 이슬람, 교도가 있으며 프랑스 사람들도 다수가 있어 1960년부터 그 뿌리를 깊게 내리고 있다.",,,,
3,이민자들도 많다 보니 여러 나라의 음식점이 계속적으로 생겨나고 있다.,,,,
4,대서양에 국경을 맞닿고 있는 덕분에 해산물 소비가 많다. 하지만 닭고기나 양고기 쇠고기도 많이 등장한다.,,,,
5,이슬람 율법의 엄격성 때문에 돼지고기만은 금지된다.,,,,
6,"땅콩이 가장 흔하게 나며 이외에 주식으로 먹는 쌀과 바나나, 고구마, 콩, 검은콩 및 여러 종류의 야채를 먹는다.",,,,
7,다른 아프리카 국가와 마찬가지로 대개 스튜를 많이 먹으며 야채와 고기를 삶아서 국물을 내고 밥과 함께 먹는다.,,,,
8,아니면 빵에 찍어 먹는 식으로 한다.,,,,
9,"생강이나 비쌉을 주스로 만들어 먹기도 하며 바오바브 나무는 ""원숭이 빵 과일""열매가 열린다고 한다.",,,,
10,망고스틴이나 다른 열매도 많이 먹으며 후식이 아주 많은데 맛을 달게 먹는다.,,,,
11,프랑스의 영향이 많이 반영되어 있으며 세네겔 요리법에 많은 영향을 주었고 후에 커피와 차문화에도 반영됐다.,,,,
12,세네갈 식사는 크게 냐리 친() 종류와 벤 친() 종류로 나뉜다.,,,,
13,"월로프어에서 ""친()""은 큰 솥을 가리키는 말이고, ""벤()""은 ""하나""를 뜻하며 ""냐리()는 ""둘""을 뜻한다.",,,,
14,"냐리 친 요리를 할 때는 솥 하나에 쌀밥을, 다른 솥에는 쌀밥에 얹어 먹을 다른 음식을 만들고, 벤 친 요리를 할 때는 쌀을 양념과 다른 재료와 함께 솥 하나에 끓여 밥을 짓는다.",,,,
