,sentence,subject,object,label,memo
0,"아일랜드 요리(Ireland 料理, , )는 서유럽에 있는 아일랜드의 요리이다.",,,,
1,전통 요리와 근대 요리로 크게 나뉜다.,,,,
2,근대 이후의 요리는 호텔이나 레스토랑에서 많이 내놓는다.,,,,
3,칼 캬넌이라는 요리는 아일랜드에서 맛볼 수 있는 대표적인 요리로서 오래전부터 마늘과 감자를 함께 조리해서 만들었다.,,,,
4,다른 아일랜드 식단의 간단한 예로는 아이리시 스튜가 있는데 베이컨과 양배추를 한꺼번에 끓여 만든다.,,,,
5,박스티라는 요리도 있는데 감자 팬케이크로서 돼지고기 소시지도 같이 넣어서 만든다.,,,,
6,"아일랜드의 아침 식사는 베이컨과 달걀, 소시지, 살짝 구운 토마토 등으로 아침식사를 한다.",,,,
7,이러한 아침 식사 양식을 아이리시 브렉퍼스트라고 칭한다.,,,,
8,대한민국의 순대와 비슷한 블랙 푸딩도 먹는다.,,,,
9,해산물 소비가 원래부터 많았다. 하지만 최근 들어 조개류에 대한 요리법과 소비가 많이 늘고 있는 추세이다.,,,,
10,조개와 함께 굴도 많이 소비하며 축제 기간 동안 먹는 별식이기도 하다.,,,,
11,대구와 연어는 가장 많이 소비하는 생선에 속한다.,,,,
12,아일랜드 문학 작품에는 예부터 많은 음식과 음료에 대해 설명하였다.,,,,
13,이에 따르면 꿀이 예부터 많이 소비되었던 재료인 것으로 보인다.,,,,
14,"사슴고기를 요리하는 곳이 따로 있어 물로 고기를 세척하는 곳도 있었다고 하며, 돌을 현대의 가스레인지처럼 뜨겁게 달궈서 조리하도록 했다고도 한다.",,,,
15,바이킹이 더블린 인근과 아일랜드로 들어오면서 바이킹 민족의 식단이 상당 부분 도입되었다.,,,,
16,"주요 육류로는 양과 소, 돼지가 있다.",,,,
17,야생 거위도 잘 먹으며 해산물을 좋아하는 편이다.,,,,
18,대개 미국이나 캐나다 사람들이 해산물을 그다지 좋아하지 않는 경우가 많은 반면에 유럽에서 아일랜드인들은 해산물을 선호하는 편이다.,,,,
19,"중세에서 17세기 감자가 들어오기 전까지 시골에서 대부분의 사람들은 방목으로 생계를 유지하였는데, 대개는 귀족들의 소유였을 것이다.",,,,
20,"우유와 치즈로 만들어 먹고 오트밀과 보리를 주식으로 먹었고, 블랙 푸딩은 이 때부터 본격적으로 도입되었는데 여전히 많은 가정의 아침 식사 때 먹는다.",,,,
21,아일랜드에 감자가 16세기 중반에 최초로 들어왔다고 전한다.,,,,
22,"원래는 식용이 아니라 정원용으로 심기만 했으나, 주식으로 급부상한 것은 빈민층에 의해서였다.",,,,
23,비타민과 미네랄이 풍부하기 때문에 식단에도 손색이 없었다.,,,,
24,당대에는 우락유와 감자를 함께 요리해서 먹었다고 한다.,,,,
25,이외에도 돼지고기와 함께 요리해서 추운 겨울에 수프로 만들어 먹었다.,,,,
26,감자에 대한 의존도는 고로 아일랜드 내에서 감자 수확에 민감했음을 알려준다.,,,,
27,때문에 16~17세기 기근 때 많은 피해를 보았다.,,,,
28,"1739년 대기근 때에는 추운 날씨 때문에 수확을 하지 못하였고 1846~1849년에는 감자의 단일 품종만을 선호했던 자국의 폐단으로 1,000,000 명에 달하는 사람들이 죽었고 2백만 명의 사람들이 이민을 갔다.",,,,
29,아일랜드가 너무나 가난해서 미국 등지로 이민을 많이 갔다고 하는 것은 이 때부터였다.,,,,
30,20세기에 유럽 타국가의 요리법이 아일랜드에 들어왔다.,,,,
31,피자나 중국식 요리가 먼저 도입되고 이후에 몇몇 서아프리카 요리와 동유럽(대표적으로 폴란드 요리) 요리가 들어왔다.,,,,
32,요즘에 수퍼마켓에서는 인도/중국/동유럽을 비롯한 다양한 식재료를 볼 수 있다.,,,,
33,패스트푸드의 급속한 성장은 대중의 보건 문제로 떠올랐다.,,,,
34,때문에 현재 아일랜드의 심장마비 사망률은 세계 최고 수준이다.,,,,
35,또한 전통적으로 동물성기름과 육식을 선호하다보니 이러한 식습관의 문제점이 지적받고 있기도 하다.,,,,
36,정부 차원에서 보건 문제 해결을 위해 교육에 나서고 있다.,,,,
