,sentence,subject,object,label,memo
0,요리()는 음식을 가공하는 행위 자체를 의미한다.,,,,
1,"크게 나누어 지역별로, 시대별로 그 종류를 구분할 수 있다.",,,,
2,각종 재료를 준비하는 과정에서부터 여러가지 과정을 거쳐 음식을 만들고 시식 후 처리하는 일련의 과정을 말한다.,,,,
3,요리는 여러 조리과정을 거쳐 음식을 만드는 것이나 그 음식을 말하며 주로 가열한 것을 말한다.,,,,
4,"조리(調理)는 요리를 만드는 일이나 그 방법, 과정 등을 말한다.",,,,
5,음식의 조리법을 뜻하는 레서피(레시피)()는 조리법으로 순화어를 쓰도록 되었다.,,,,
6,문명이 출현하면서 사회집단 또는 부족에 따라서 전통적인 요리법이 정착되기 시작했다.,,,,
7,"기후, 토양, 동물 분포와 같은 지역적인 요인에 따라서 서로 다른 전통이 만들어졌다.",,,,
8,사람들이 얼마나 청결한 것을 좋아하는가와 자신들의 사회구조를 지키기 위해서 어떤 종교적 금기를 지키는가에 따라서 요리법이 달라지기도 했다.,,,,
9,"전통 음식은 국가, 지역별로 다음과 같이 나뉜다:",,,,
