,sentence,subject,object,label,memo
0,"우크라이나 요리(Ukraina 料理, )는 동유럽에 있는 우크라이나의 요리이다.",,,,
1,우크라이나인의 전통적인 식생활 문화를 대표하는 동유럽 요리의 하나이다.,,,,
2,"보르시나 바레니크 등 세계적으로도 유명한 요리가 있어, 핀란드, 폴란드, 리투아니아, 루마니아, 러시아, 벨라루스, 유대인 등의 식생활 문화에도 대단히 큰 변화를 가지고 왔다.",,,,
3,우크라이나 요리의 전통은 키예프 대공국 (9세기 - 13세기)의 요리 문화에 거슬러 올라간다.,,,,
4,"중세 시대의 우크라이나인은 곡물 (밀, 맥, 호밀, 수수)나 채소 (양배추, 무, 양상추 종류, 마늘 등)을 재배해, 새 (닭, 거위, 오리, 비둘기, 뇌조)나 동물 (돼지, 소, 산양, 양 등)을 축산해, 그것을 요리로 하고 있었다.",,,,
5,"또, 야생 동물의 고기 (멧돼지, 오록스, 록, 토 등)과 민물고기 (잉어 종류, 철갑상어, 회, 만, 꼬치고기 등)와 그 알도 먹을 수 있었다.",,,,
6,고대 이래 우크라이나인의 주식은 빵이었다.,,,,
7,"키예프 대공국 시대의 일반적인 빵은, 소맥분이나 호밀가루 등으로 만든 산미가 있는 발효 빵이었지만, 그 외에, 케이크, 카라치, 코로바이 등의 종 없음",,,,
8,"빵이나, 겨자의 열매와 벌꿀로 반죽한 감미가 있는 빵 등, 여러가지 빵의 종류가 존재하고 있었다.",,,,
9,빵 외에 잡곡의 죽 (카샤)도 만들어져 부식의 역할을 이루어 있었다.,,,,
10,"농가에서는 탈곡한 수수의 열매로부터 만들어져 죽은 일반적이었지만, 귀족이나 마름의 가정에서는 '사라센의 수수'라고 불리는 수입찰벼로 만들어진 죽을 먹는 습관이 있었다.",,,,
11,"그 외의 부식에는 콩 요리 (완두, 편두 등)이나 채소 요리 (양배추, 비트, 무, 인삼, 오이, 호박, 겨자무, 양파, 마늘 등) 등이 있었다.",,,,
12,"조미료에는, 재래품의 향신료 (시나, 당호, 캐러웨이, 아니스, 박하, 호두)와 수입품의 향신료 (후추, 계수나무), 그리고 여러가지 기름 종류 (식물유, 살로, 우유, 버터, 스메타나)와 감미료로서의 야생 벌꿀이 이용되었다.",,,,
13,"디저트는 과일 (사과, 서양배, 벚나무, 리, 산괴, 태도, 라즈베리, 크랜베리 등), 치즈, 크체 (밀, 호밀, 아리는 미를 벌꿀과 겨자의 열매와 합한 요리)가 중심이 되고 있어 음료는 유제품 (우유, 케피어), 곡물주 (크바스, 맥주), 봉밀주나 알코올의 과일주 등이 있었다.",,,,
14,"중세 우크라이나의 요리는 긴 시간을 들여 큰 천화로 삶어지는 것이 일반적이었다. 라구 중에서 수프는 가장 인기가 있는 요리이며, 두 개의 종류로 나뉘어 있었다.",,,,
15,"하나의 종류는 채소와 향신료를 맞추어 만든 '코우소우가 데쳐 것'(, 바르보)으로, 또 하나의 종류는 고기와 물고기로 만든 '국'(, 유하. 후에 , 유슈카. 국물 혹은 방어 욘이 상당하다.)이었다.",,,,
16,"중세 말기에 '코우소우가 데친 것'에 남방계의 비트를 넣게 되면, '데친 것'은 '보르시' ()로 불리게 되었다.",,,,
17,"13세기 중반에 키예프 대공국이 몽골 제국에 붕괴된 후, 우크라이나는 여러가지 이웃나라에 의해서 지배되게 되었다.",,,,
18,"그에 따라 우크라이나의 요리 문화는 타국에 알려지게 되는 한편, 타국의 요리 문화가 우크라이나에 유입해 우크라이나의 요리를 풍부하게 했다.",,,,
19,14세기 이후에 아시아로부터 수입되고 있던 소바는 드니프르 우크라이나에서 재배되게 되었다.,,,,
20,"그것이 계기로 우크라이나에서 메밀 경단 (후레챠누크), 메밀 빵, 메밀 죽, 메밀 만두나 케이크 등을 만드는 풍습이 퍼졌다.",,,,
21,"또, 동년대에 중앙아시아에서는 뽕과 수박이 들어 오고, 남우크라이나에서 재배되게 되었다.",,,,
22,"16세기부터 19세기에 걸쳐 미국 대륙으로부터 옥수수, 호박, 강낭콩, 딸기, 고추, 감자, 해바라기, 토마토 등의 수입에 의해, 우크라이나 요리의 양상은 크게 바뀌었다.",,,,
23,"특히, 감자는 수프, 전채, 고기 요리에 불가결한 재료가 되어, 해바라기는 가장 중요한 유지 작물이 되었다.",,,,
24,"17세기에 인도로부터 재배되어 온 시금치가 여름의 보르시로서 선호되는 '녹색의 보르시'를 만들기 위해서 이용되게 되어, '이교도의 오이'라고 불리는 가지는 현대 우크라이나 요리를 대표하는 수많은 채우기 요리에 사용되게 되었다.",,,,
25,우크라이나 요리는 날 것 보다는 불로 익힌 게 많다.,,,,
26,"볶기, 굽기, 데쳐 가열한 기름에 통해, 여러 가지로 가열하는 것으로 식품 재료의 풍미를 늘려, 풍부한 조미료를 조합하는 것으로 식품 재료의 풍미를 높이려고 한다.",,,,
27,"소고기나 닭고기가 주로 사용되며, 돼지고기는 거의 쓰이지 않는다.",,,,
28,"돼지고기, 라드, 사워 크림(스메타나)을 많이 사용한다.",,,,
29,잉어 등 민물고기도 많이 먹는다.,,,,
30,"달걀 등 알 종류, 소맥분도 과자 등을 중심으로 충분하게 사용된다.",,,,
31,"밀에 이어 사용되는 것은 소바로(마카론), 소바의 음식은 넓게 사랑받고 있었다.",,,,
32,"채소류 중에서는, 비트가 인기로 대략 30종류가 있다고 한다.",,,,
33,"보르시에는 빠뜨릴 수 없는 채소이다(일본의 '보르시'라고 칭하는 요리와 같이 비트를 생략하고 토마토를 더하는 것은, 우크라이나에서는 토마토 수프로 보일 것이다.). 계속되어 고대 루스인과 같이 콩류도 선호된다.",,,,
34,"외래의 채소면서 토마토, 감자, 호박, 옥수수도 큰 역할을 이루어 있다.",,,,
35,버섯은 몹시 선호되어 버섯 사냥은 주요한 레저의 하나이기도 하다.,,,,
36,"체리, 자두 등은 과일 그 자체로도 소비되지만, 과자 재료나 조미료로도 사용된다.",,,,
37,"마늘, 양귀비, 딜, 캐러웨이 등도 맛을 낼 때 많이 사용된다.",,,,
38,설탕을 충분히 더한 잼은 과자 뿐만이 아니라 홍차의 단맛에 빠뜨릴 수 없다.,,,,
39,"식초와 초타해바라기의 종으로부터 짠 독특한 풍미가 있는 기름은, 전채를 맛봐",,,,
40,다채로운 가열 방법을 이용하는 우크라이나 요리에는 여러가지 조리 기구가 이용된다.,,,,
41,"프라이팬이나 냄비는 물론, 다른 나라에서는 친숙하지 않은 것도 많다.",,,,
