,sentence,subject,object,label,memo
0,"이탈리아 요리(Italia 料理, )는 남유럽에 있는 이탈리아의 요리이다.",,,,
1,기원전 4세기부터 다양한 사회·정치 변화와 함께 발전해 왔다.,,,,
2,"특히 유럽인들이 세계 각지로 진출한 이후 신대륙에서 감자, 토마토, 단고추, 옥수수 등의 다양한 식재료가 유입되면서 이탈리아 요리는 큰 변화를 겪었다.",,,,
3,이런 재료는 18세기 이전까지는 보급되지 않았다.,,,,
4,이탈리아 요리는 각 지역마다 고유한 특색이 있고 다양하지만 크게 북부와 남부로 구분한다.,,,,
5,"다른 나라와 국경을 맞대던 북부는 산업화하여 호황을 누리면서 농업이 발달한 덕분에 쌀이나 유제품이 사용되는 요리가 많지만 경제적으로 침체됐던 남부는 지역 특산물인 올리브와 토마토, 모짜렐라 치즈나 해산물을 활용한 요리가 많다.",,,,
6,간결함으로 귀결되는 특징이 있어 많은 경우 4개~8개 정도의 재료로 조리되며 정교한 준비 과정보다는 재료의 질에 따라 맛이 좌우된다.,,,,
7,"치즈와 포도주는 이탈리아 요리의 핵심을 차지하며 여러 종류가 존재하는데 식재료와 치즈의 차이는 파스타의 종류와 요리에 기본이 되는 수프, 소스의 차이를 뜻한다.",,,,
8,2013년 CNN은 세계 최고의 요리로 이탈리아 요리를 선정했다.,,,,
9,대략 기원전 4세기부터 시작되었다고 여겨진다.,,,,
10,"여러 세기 동안 주변 지역과 정복자, 유명한 요리사, 정치 변동 및 신대륙의 발견 등 매우 다양한 요소가 이탈리아 요리의 형성에 영향을 끼쳤다.",,,,
11,이탈리아 요리에 대해 최초의 저술을 남긴 사람은 그리스계 시칠리아 사람인 아케스트라투스이다.,,,,
12,기원전 4세기에 지금의 시라쿠사 지역에 살던 그는 “계절에 맞는 최상의 재료”를 사용하는 것에 대한 시를 남겼다.,,,,
13,"그는 또한 향신료나 허브, 양념 따위를 사용한 음식과 그 중요성, 생선 요리 등에 대해 서술했다.",,,,
14,특정 양념이나 향신료가 지나쳐서는 안 된다는 것 또한 집필 내용에 포함됐지만 470가지의 요리법을 담은 책인 《데 레 코퀴나리아》(De re coquinaria《요리에 관하여》)를 출판하면서 이런 형태의 요리는 역사 속으로 사라졌다.,,,,
15,이 책은 생선의 비린내나 특정 재료의 맛을 숨기면서 다른 맛을 낼 수 있는 소스에 대해서 서술해 놓았다.,,,,
16,로마 사람들은 그리스 최고의 제빵사를 고용해서 빵을 만들었고 가장 뛰어난 재료로 알려져 있던 페코리니(pecorini)를 시칠리아에서 수입해 왔다고 한다.,,,,
17,로마인은 염소를 사육해 육식을 함과 동시에 여러 가지 식물도 재배한 것으로 알려져 있다.,,,,
18,시칠리아 지방으로 로마와 아테네의 요리 문화가 유입됐고 섬 지형에 맞게 변형되고 다시 새로운 요리로 탈바꿈하게 됐다.,,,,
19,이탈리아 요리의 뿌리가 시칠리아에 기원한다고 볼 수 있는 셈이다.,,,,
20,무슬림이 9세기까지 시칠리아를 침략하여 다스렸고 그 뒤에는 바이킹 세력이 남하하여 지중해 일대는 상당한 혼란기를 겪었다.,,,,
21,"아랍인들은 시금치, 아몬드, 쌀 등을 도입했으며, 이러한 재료의 출현은 12세기 노르웨이의 왕이 시칠리아에 왔을 때 사람들이 기다란 면발을 만들어 먹었다는 것을 보았다고 기록한 것을 토대로 알 수 있다.",,,,
22,이 요리를 일부에서는 파스타의 첫 출현이라고 보고 있다.,,,,
23,"당시에는 면을 단순히 밀가루와 물로 만들었다고 하는데, 사람들이 “아트리야”(""atriya"")라고 불렀다가 나중에는 “트리”(""trii"")로 굳어졌다고 한다.",,,,
24,"트리(""Trii"")라는 이 낱말은 남부 이탈리아에서 스파게티의 다른 이름으로 쓰이기도 했다.",,,,
25,"노르만 족들은 청어나 대구 따위를 절여 먹는 법도 들여왔으며, 이 방법은 아직까지도 이탈리아에서 사용되고 있다.",,,,
26,"냉장고가 없던 시절에 음식 저장법은 매우 중요했으며, 그 방법은 물리적이면서 화학적이기도 했다.",,,,
27,육류나 생선은 훈제하거나 얼음 위에 보관했고 아니면 건조시켰다.,,,,
28,"소금물이나 소금에 식재료를 절여 두는 것은 청어나 돼지고기, 피클 따위를 보관하는 방법으로 유용하게 쓰였으며, 식초나 기름 등을 함께 넣어 동물성 단백질이 변질되지 않도록 했는데, 이는 지금의 방부제와 유사한 효과를 냈다.",,,,
29,"과일 보관에는 술이나 꿀, 설탕이 쓰였다.",,,,
30,"이탈리아 반도 북부 지방에서는 독일 요리의 특징과 고대 로마식 요리의 특징이 서로 겹치는 현상이 나타났으며, 남쪽에는 아랍 문화에 토대한 식사 형태가 뿌리내려 지중해 일대로 널리 퍼져 갔다.",,,,
31,가장 오래된 이탈리아의 요리책은 13세기 나폴리에서 집필됐다고 전해지는 《리베르 데 코퀴나》(Liber de Coquina)로서 한국어로는 말 그대로 《요리책》이다.,,,,
32,이 책에는 로마식 배추 요리나 작은 잎을 잘라서 요리한 음식인 라바냐 파이(Lavagna pie)를 비롯해서 지금도 볼 수 있는 생선 요리도 많이 소개되어 있다.,,,,
33,"15세기에는 바티칸의 요리사로 근무한 마르티노가 《리브로 데 아르테 코퀴나리아》(""Libro de Arte Coquinaria"", 《요리법》)라는 원고를 써서 그때까지 소개된 책과는 아주 다른 고품격 음식을 다루었다.",,,,
34,"그 중 한 가지는 “마카로니 시칠리아니”(""Maccaroni Siciliani"", 시실리풍 마카로니)인데 얇은 철제 기구에 밀가루 반죽을 덮어서 햇빛에 말려 먹는 요리였다.",,,,
35,주재료인 마카로니는 갓 잡은 수탉과 함께 요리하였고 사프란을 첨가했다.,,,,
36,그는 이 요리가 아랍 문화의 영향을 받았다고 적어 놓았다.,,,,
37,"로마인의 요리법으로 포함된 것 중에는 양배추로 요리한 음식과 “코피에테”(""coppiette"")가 있었다.",,,,
38,"그가 선보인 피렌체 풍 음식으로는 달걀로 요리한 볼로네즈 토르타(""Bolognese Torta"", 볼로냐풍 케이크)와 시에니즈 토르타(""Sienese torta"", 시에나풍 케이크)가 있었는데 제노바 풍 마카로니 요리, 호박, 버섯, 시금치를 이용해 만들었던 파이 등도 함께 다뤘다.",,,,
39,"마르티노의 요리는 1475년 베네치아에서 바르톨로미오 플라티나가 출판한 《참된 즐거움과 건강에 대하여》(""De honesta voluptate et valetudine"")에도 소개되었다.",,,,
40,"마르티노의 원고를 참고해서 지역에 따라 분류하고 정리했으며, 마조레 호수의 농어나 가르다 호수의 정어리 등 인근에서 가져다가 사용한 식재료와 해당 음식을 자세히 설명하였다.",,,,
41,"이탈리아의 정통 요리는 피렌체와 로마, 베네치아, 페라라의 궁중에서 요리 문화가 꽃피운 이후 본격화하였다.",,,,
42,그중에서도 페라라의 에스테 궁전이 요리 문화의 선두 주자가 됐다.,,,,
43,"1549년 이폴리토 데스테의 집사였던 크리스토포로 메시스부고(Christoforo Messisbugo)가 《""Banchetti Composizioni di Vivande""》를 출판하면서 이탈리아의 파이나 타르트를 소개했다.",,,,
44,"그 책에서는 동양이나 동부 지방에서 유입된 재료, 124종의 다양한 양념에 대해서도 설명해 놓았다.",,,,
45,"1570년 교황 비오 5세의 개인 요리사였던 바르톨미오 스카피가 책 《오페라》(""Opera"")를 써냈다.",,,,
46,"다섯 권으로 구성된 이 책은 요리하는 방법을 천 가지 이상 설명해 놓았을 뿐만 아니라 정찬에서 어떤 형태로 음식이 나가고 식단이 결정됐는지, 조리 기구나 요리하는 모습도 상세히 다뤘다.",,,,
47,다른 궁중에서 전해졌던 책과 이 책이 특별히 다른 점은 가금류를 요리하는 법이다.,,,,
48,인근의 동물이나 새를 잡아서 어떤 식으로 다듬고 깨끗하게 잘라내는지가 나와 있다.,,,,
49,"혀나 머리, 어깨뼈 부위를 손질하는 방법도 다뤘다.",,,,
50,제3권에서는 생선이나 사순절에 먹는 음식을 설명했다.,,,,
51,"생선 요리는 구워 먹거나 탕류, 찜으로 먹었으므로 상당히 간단했다.",,,,
52,제5권에서는 나폴리풍 피자 요리법이 등장하는데 당시 이탈리아에는 토마토가 존재하지 않았으므로 피자가 지금의 맛이 아니라 달거나 짭짜름한 맛이었다.,,,,
53,옥수수나 칠면조 역시 없었으므로 현대인이 생각하는 음식 문화와는 상당히 달랐다.,,,,
54,"이외에 타라트나 파이, 얇게 썬 과일 튀김에 대해서도 썼다.",,,,
55,"1600년대 잔자코모 카스텔베트로(Giangiacomo Castelvetro)는 《모든 종류의 채소와 허브, 과일》(""Brieve Racconto di Tutte le Radici di Tutte l'Herbe et di Tutti i Frutti"")이라는 책을 썼다.",,,,
56,모데나 태생인 카스텔베르트로는 개신교도였기에 영국으로 건너갔다.,,,,
57,"이 책은 이탈리아의 채소와 과일, 그리고 그 손질 과정을 주요리처럼 중점을 두어 소개했다.",,,,
58,"그는 소금물에 끓인 채소를 따뜻하게 혹은 식힌 후 올리브유, 소금, 후추, 레몬 주스, 버주스, 오렌지 주스 따위와 곁들일 것을 권장했다.",,,,
59,또한 습한 종이로 싼 채소에 올리브유를 조금씩 부으며 숯불에 굽는 방법도 제안했다.,,,,
60,"봄철에는 홉 줄기를, 겨울에는 트뤼프를 사용하는 방법, 돼지를 이용해 트뤼프를 찾는 방법도 상세하게 서술했다.",,,,
61,"1662년 만토바 공국의 요리사였던 바르톨미오 스테파니(Bartolomeo Stefani)가 《뛰어난 요리의 예술》(""L'Arte di Ben Cucinare"")을 출판했다.",,,,
62,그는 이탈리아 요리에 대한 전문 서적을 출판한 마지막 근세인이자 일반 음식을 주제로 집필한 최초의 사람이기도 했다.,,,,
63,"그는 만토바 공국의 찰스 3세가 스웨덴의 크리스티나에게 대접한 만찬의 준비 모습과 관련해 나이프를 비롯한 숟가락, 유리잔, 접시, 큰 그릇을 놓는 법과 그 사용법을 모두 설명해 놓았다.",,,,
64,사발 대신에 냅킨도 사용했다.,,,,
65,"이 시대의 또 다른 책 《갈라테오》(""Galatheo"")는 지오반니 델라 카사(Giovanni della Casa)가 지은 책으로 여기서는 웨이터(""scalci"")가 손님들에게 식사를 준비하면서 어떻게 행동하는지 설명했다.",,,,
66,"일종의 식사 예절 교육에 대해 많이 서술했는데 웨이터들은 머리나 신체를 긁어서는 안 되고 침을 뱉거나 코를 풀거나 재채기를 하는 것도 금지됐으며, 냅킨으로 땀을 닦거나 손가락을 빨면서 식사를 하는 것도 추하다고 했다.",,,,
67,이탈리아 요리는 지역에 따라 특성도 다양한 만큼 음식이 다양하고 종류도 상식을 초월할 정도로 많다.,,,,
68,"흔히 사용되는 재료는 과일, 채소, 소스, 육류 등 다양한 편이다.",,,,
69,"오늘날 세계인이 생각하는 이탈리아 요리는 18세기 프랑스, 스페인, 오스트리아의 영향을 아주 많이 받았다.",,,,
70,18세기 초기에는 이탈리아의 요리책이 지방별로 여기저기 흩어져 있었을 뿐 본격적으로 다뤄지지는 않았다.,,,,
71,"그런 책은 아주 전문은 아니어서 가정주부에게나 어울렸고, 프랑스 요리책이 교본처럼 널리 통했다.",,,,
72,"1794년 집필된 《크레모나의 요리》(""La cuoca cremonese"")에는 계절에 따른 육류와 채소 사용법이 설명되었다.",,,,
73,이 시기 이탈리아 요리는 이탈리아 전체적으로 규모와 대중성이 크게 성장한다.,,,,
74,크레모나는 밀라노 남동쪽에 있는 도시이다.,,,,
75,"1779년 지금의 마르케주 마체라타 출신의 안토니오 네비아(Antonio Nebbia)는 《마체라타의 요리》(""Il Cuoco Maceratese"")에서 파스타나 뇨키 외의 지역 재료도 설명했다.",,,,
76,"그는 지중해 연안에서 쓰던 채소가 어떤 식으로 수프, 밥류, 파스타에 쓰였는지 다루면서 프랑스 요리의 영향을 배제했다.",,,,
77,"유사한 책인 《궁중 요리》(""Il Cuoco Galante"")는 빈센조 코라도(Vincenzo Corrado)가 1773년 나폴리에서 출판하였는데 이 책에서는 장미 등의 꽃과 씨앗, 과일을 이용해서 당시 사람들이 어떤 식으로 영양을 보충했는지 설명했다.",,,,
78,또한 토마토가 어떤 식으로 자리매김했는지 알 수 있는 요리 13가지도 설명했다.,,,,
79,코라도는 그 책의 1798년판에서 농경학자이던 앙투안 파르망티에의 논문 〈감자에 대한 보고서〉(“Treatise on the Potato”)를 프랑스의 허가를 받아 소개하였다.,,,,
80,"19세기에는 이탈리아 초대 국왕의 요리사이던 조반니 비알라르디가 《현대 요리법에 대한 저서》(""A Treatise of Modern Cookery and Patisserie"")를 내놓으면서 가정에서도 쉽게 만들 수 있는 요리를 다루었다.",,,,
81,"그가 소개한 요리법은 감자를 이용한 12가지의 요리 등 여러 요리였는데 그 중 하나가 “제노바식 캐폰 마그로”(""'Genoese Cappon Magro"")로 제노바에서는 아직도 흔하다. 1829년에는 지오반니 펠리스 루라스키(Giovanni Felice Luraschi)가 ""Il Nuovo Cuoco Milanese Economico""에서 레몬이나 안초비를 곁들인 콩팥 요리와 밀라노식 요리법을 소개했다.",,,,
82,"1871년 지안 바티스타(Gian Battista)와 지오반니 라토(Giovanni Ratto)는 《제노바의 요리》(""La Cucina Genovese"")에서 리구리아 지방 요리를 다루면서 페스토() 요리를 처음으로 소개했다. 《라 쿠시나 테오리코 프라티카》(""La Cucina Teorico-Pratica"")는 카발칸티(Cavalcanti)가 쓴 책으로서 토마토를 넣은 파스타 요리를 최초로 설명한 저서이다.",,,,
83,"이탈리아 근대 요리의 결정체로 손꼽히는 책은 펠레그리노 아르투시가 써서 1891년에 초판이 발행된 《올바른 식사법과 조리법》(""La scienza in cucina e l'arte di mangiare bene"")으로서 이탈리아 전역에서 널리 수용됐다.",,,,
84,"주로 지금의 에밀리아로마냐주와 토스카나주의 요리를 다루었는데, 그곳은 그가 태어나 살았던 곳이었다.",,,,
85,대한민국에 최초로 상륙해 대중에게 인기를 끈 이탈리아 음식은 피자이고 뒤이어 파스타도 호응을 얻었다.,,,,
86,피자는 미국에서 한 번 변화한 후 다시 대한민국 대중의 입맛에 맞춰 변형됐다.,,,,
87,이탈리아 요리는 라 칸티나 레스토랑이 대중에 첫 선을 보이고서 1970년대 지속적으로 그 규모와 분야가 성장하여 주요 호텔에 뿌리내렸다.,,,,
88,1980년대 이탈리아 요리사의 기술을 배운 요리사들이 파스타 전문점을 열었고 일반인에게 이탈리아의 맛을 전하는 매개체가 됐다.,,,,
89,1990년대부터는 이탈리아 요리 전문점을 심심치 않게 찾아볼 수 있게 됐다.,,,,
90,"모두 스무 주로 이루어진 이탈리아는 주마다 요리의 특성이 다르지만, 지역 구분에 따라서도 차이가 크게 나는 때가 있다.",,,,
91,"대개 국경에 접한 곳일수록 그 특성이 확연하게 드러나며, 상대적으로 바다나 산을 끼고 있는 지역은 외부의 영향력이 적다가 경제 발전에 힘입어 조금씩 개방되는 양상을 띤다.",,,,
92,"지역뿐 아니라, 사용하는 양념이나 향신료의 종류나 생산되는 농산품에 따라서 구분하기도 한다.",,,,
93,프리울리베네치아줄리아주는 일부가 오스트리아-헝가리 제국의 지배 아래에 있었고 슬로베니아와는 국경을 맞대기 때문에 그 영향을 많이 받았다.,,,,
94,그래서 비엔나 소시지를 맥주와 곁들이는 모습이 아주 흔하다.,,,,
95,카르니아(Carnia)는 베이컨과 치즈로 유명한 지역이다.,,,,
96,"콜리오와 그라브 델 프리울리, 콜리 오리엔탈리는 포도주를 좋아하는 사람이라면 꼭 들르는 곳이다.",,,,
97,"대개 후식은 밀가루로 만들며, 돼지고기 요리나 파이는 “포골라르”(""fogolar"")라 불리는 개방형 화로에 굽는다.",,,,
98,"보통 프리울리의 식사는 여러 종류의 수프로 시작하고 양파나 파슬리, 마늘, 베이컨 등 식재료가 아주 많으며 돼지고기나 쇠고기까지 넣으면 상당히 푸짐한 식사가 된다.",,,,
99,리소토는 대개 생선으로 요리하는데 쌀을 넣어 설탕이나 우유와 버무린다.,,,,
100,"프리울리의 서부에서는 전통적으로 산 다니엘레 델 프리울리(햄), 몬타시오 치즈, 프리코 치즈가 있고 훈제 미트볼의 일종인 피티나나 여러가지 정류의 폴렌타, 뇨끼도 많이 먹는다.",,,,
101,"이탈리아의 주 중 넓이는 17번째, 인구는 15번째지만 포도주 생산량은 9번째로 높다.",,,,
102,"베네토주는 리소토가 가장 유명한 곳으로 대체적으로 해안가는 아드리아해의 해산물 위주, 내륙은 호박이나 아스파라거스, 개구리 다리를 써서 서로 풍미가 조금 다르다.",,,,
103,"파스타에 콩과 식물을 많이 넣어서 먹으며 대표적으로 ""Risi e bisi""나 파스타 에 파지올리가 있다.",,,,
104,베네토의 요리는 이국적인 향신료나 소스를 많이 쓰는 편이며 청어나 안초비 같은 생선을 말려서 먹는다.,,,,
105,다만 지역 식습관이 육류 위주로 바뀌어 가면서 소시지 요리나 마늘 살라미 등도 즐겨 먹는다.,,,,
106,다른 전통 요리로는 소금에 절여서 만드는 생선 요리인 바칼라가 있다.,,,,
107,일설에 따르면 콜럼버스가 항해 중 우연히 발견했다는데 오랫동안 저장해서 먹을 수 있었기에 식량으로 각광 받았다고 한다.,,,,
108,바칼라는 일부 지리적·시간적 제한으로 인해 만들어진 음식이었으므로 고급 음식으로 보기는 어려웠지만 오늘날은 여러 전통 요리와 함께 이탈리아 요리 고유의 르네상스를 누리고 있다.,,,,
109,트렌티노알토아디제주는 트리엔트 공의회가 열렸을 정도로 가톨릭교회 문화의 중심지로서 대체로 간결하고 소박한 교회 요리가 발달했다.,,,,
110,"한때 합스부르크 제국의 지배도 받았었기 때문에 슬라브족이나 오스트리아, 헝가리의 영향도 많이 가미됐다.",,,,
111,그래서 북부 지역의 제1언어는 독일어인 지방도 있으며 가족경영 소규모 포도주 주조장이 많다.,,,,
112,반면에 남부 지역은 대규모 주조장이 많이 분포하며 이탈리아어가 제1언어이다.,,,,
113,이탈리아산 포도주의 6%가 이 지역에서 생산된다.,,,,
114,폴렌타가 매우 흔한 음식으로 옥수수 가루 대신 혹은 옥수수 가루와 함께 감자나 밀을 첨가하며 버섯과 닭고기 등도 넣는다.,,,,
115,헝가리 요리로 유명한 구야시는 주말에 자주 먹는 음식이다.,,,,
116,"돼지비계로 만든 기름인 라드를 많이 사용하며 독일식 양배추 요리인 사워크라우트도 흔한데 이곳에서는 “크라우티”(""crauti"")라고 부른다.",,,,
117,뇨끼를 요리할 때 감자 대신 리코타 치즈를 넣어 조리하기도 한다.,,,,
118,롬바르디아주는 쌀이 흔한 지방으로 수프나 리소토도 쌀을 주재료로 하는 경우가 많다.,,,,
119,"이 지방의 치즈로는 로비올라, 스트라키노, 탈레조 치즈, 고르곤졸라 등이 있으며, 대개 작은 마을의 이름을 딴 것이다.",,,,
120,롬바르디아는 넓은 방목지로 유명한 고장이었으므로 사육하는 소의 마릿수가 많아 일찍이 치즈를 이용한 식단이 널리 퍼졌다.,,,,
121,그 때문에 버터나 크림 종류도 많이 쓴다.,,,,
122,베르가모나 브레시아 일대에서는 옥수수가루나 밤가루로 만드는 죽의 일종인 폴렌타가 흔하다.,,,,
123,수프류가 널리 수용되는 이유는 노동자가 많아서 식사에 드는 수고를 덜기 위해서이다.,,,,
124,"만토바에서는 라비올리의 일종으로 호박으로 채워 만드는 토르텔리 디 추카(""tortelli di zucca"")가 알려져 있으며, 이것은 칠면조 안에 버터나 다른 재료를 넣고 만드는 수프 요리를 곁들여 먹는다.",,,,
125,밀라노에서는 쉽고 빠르게 요리해먹을 수 있는 코토레타가 아주 흔히 볼 수 있는 음식으로 그 간편함 덕분에 널리 쓰인다.,,,,
126,라틴 아메리카로도 전파돼 영감을 준 요리로 파악된다.,,,,
127,발레다오스타주는 산악 지대가 많은 지역으로 프랑스와 스위스 등 알프스 일대의 식문화 영향을 많이 받았다.,,,,
128,치즈나 퐁듀를 끓이거나 비슷한 종류의 수프를 진하게 끓여서 빵과 함께 먹는 것이 이 지역에서는 관습처럼 굳어져 있다.,,,,
129,타 지역과 달리 파스타보다 폴렌타가 더 흔하다.,,,,
130,"폴렌타는 대개 호밀 빵 또는 구운 베이컨과 함께 먹고, 산간 지방에서는 사냥한 고기를 많이 먹는다.",,,,
131,"스튜를 만들 때에는 우유나 버터, 크림을 넣는다.",,,,
132,알프스와 포 계곡 사이에 둥지를 틀듯이 자리한 피에몬테주는 다른 지역과 다른 생태계가 발달해 있다.,,,,
133,이탈리아 반도에서 가장 정제되고 다양한 요리를 선보인다고 하며 전통 요리와 프랑스 요리가 결집해 치즈와 포도주 또한 종류가 가장 많은 곳이다.,,,,
134,또한 슬로푸드 운동이 시작됐으며 이탈리아 일류 식문화 학교인 미식과학대학(University of Gastronomic Sciences)이 위치한다.,,,,
135,"카루 소고기의 품질이 아주 우수한 것으로 알려져 있으며 생고기를 마늘, 레몬, 소주, 포도주를 섞어 스튜를 만들어 먹는다.",,,,
136,그 소스를 여러 가지로 다변화할 수도 있다.,,,,
137,"가장 대표적인 것이 아뇰로띠이며 마늘, 안초비, 올리브유와 버터를 섞어 만든 바그나 카우다, 비체린 등도 많이 먹는다.",,,,
138,피에몬트 주는 초콜릿 종류도 다양한 편이어서 세계적으로 그 유명세도 높다.,,,,
139,"잔두이오토, 마룬 글라세, 누텔라 등이 있다.",,,,
140,"견과류나 카르둔(엉겅퀴의 일종), 버섯류를 많이 섭취한다.",,,,
141,사냥이나 낚시로 잡은 고기나 생선을 활용하기도 한다.,,,,
142,"마늘이나 트뤼프(송로버섯)를 많이 먹으며, 제철 채소나 치즈, 쌀은 주 전역에 걸쳐 폭넓게 사용한다.",,,,
143,"달고 가벼운 거품이 풍기는 좋은 포도주가 많이 생산되는 곳으로도 알려져 있는데, 아스티에서 생산되는 모스카토 다스티가 유명하다.",,,,
144,"프로슈토로 유명한 이탈리아식 햄을 이 지방에서는 “필레토 바차토”(Filetto Baciato)라고 부르며, 대개 백포도주와 함께 먹는다.",,,,
145,향기가 강한 이 햄은 살라미 반죽을 발라 6개월 동안 숙성시킨다.,,,,
146,리구리아주에서는 허브나 채소류를 많이 소비한다.,,,,
147,"수프 뿐 아니라 쌀 요리 등에도 바질 같은 허브와 견과류, 올리브유를 넣어서 소스를 만들어 쓴다.",,,,
148,세이보리 파이나 케이크가 아주 흔하며 양파나 올리브기름을 많이 사용한다.,,,,
149,"이 케이크라는 것은 체치 파이 혹은 파리나타(Farinata)로 불리는데, 파이를 준비하려면 4시간 정도 반죽을 불린 뒤에 오븐에 굽는다.",,,,
150,굽기 전에는 올리브기름을 뿌리도록 하는데 노릇노릇해지면 후추를 뿌리거나 마름모꼴로 잘라서 내놓는다.,,,,
151,파리나타 외에도 견과류를 속에 넣은 타르트 등으로도 알려져 있다.,,,,
152,에밀리아로마냐주의 식문화는 롬바르디아 주의 영향을 받았고 에밀리아 지역과 로마냐 지역 간의 차이도 존재한다.,,,,
153,밀가루와 달걀을 적절히 섞어서 내놓는 달걀 파스타는 북부 파스타의 전형으로 알려져 있다.,,,,
154,"볼로냐 지방에서는 파스타의 일종인 토르텔리니, 베르디 라사냐, 그라미냐, 탈리아텔레가 매우 유명하다.",,,,
155,"이곳에는 그밖에도 지역 음식이 많은데, 에밀리아 지방에서는 파르마에서 피아첸차에 이르기까지 쌀이 널리 사용된다.",,,,
156,대개 쌀 생산이 아주 풍부하지는 않아서 포 강 유역 일대에서 나는 것을 주로 사용한다.,,,,
157,"지역적인 풍미를 여러 세기 동안 간직한 음식으로 추앙받는 요리는 “아체토 발사미코 트라디치오날레”(""Aceto balsamico tradizionale"")라고 불리기도 하는 발사믹 식초이다.",,,,
158,다른 나라에서는 ‘이탈리아 식초’라고 부른다.,,,,
