,sentence,subject,object,label,memo
0,"일본 요리(日本料理, )는 동아시아에 있는 일본의 요리이다.",,,,
1,"우리나라에서는 일식(日食)으로 알려져 있으며, 일본에서는 와쇼쿠(, )라고 부른다.",,,,
2,좁은 의미로는 일본 고유의 요리법을 사용한 일본 고유의 요리들을 지칭한다.,,,,
3,"일본인이 오랫동안 먹어온 식사이더라도, 그것이 일본의 독특한 요리가 아니라면, ""와쇼쿠(화식)""로 불리지 않는다.",,,,
4,"일본 요리와 ""일본이 먹어온 식사""가 반드시 일치하는 것은 아니다.",,,,
5,"일본 요리는 수많은 정치적, 사회적 변화를 겪으며 여러 세기에 걸쳐 발전해왔다.",,,,
6,일본 요리는 쇼군 치하 동안에 엘리트주의를 없애려 했던 중세 시대가 출현하며 변화하였다.,,,,
7,초기 현대 시대에 서양 문화가 일본에 전래하면서 엄청난 변화를 겪게 된다.,,,,
8,"현대적 용어인 ""일본 요리""는 전통 스타일의 일본 음식을 말하며, 이는 1868년에 쇄국 정책이 끝나기 전에 존재했던 것과 유사하다.",,,,
9,"더 넓게 보면, 해외에서 들여온 요리 방식이나 재료로 만든 음식을 포함하지만 저만의 일본식으로 개발해 냈다는 것에 그 의의가 있다.",,,,
10,"현재, 일본인이 먹는 식사 중에서, 다른 나라의 요리로서의 성격이 강한 것을 제외한 나머지를 ""일본 요리""라고 부르는 경우가 많다.",,,,
11,"예를 들어, 규동이나 니쿠자가는 양념으로 간장이랑 국, 미림 등 일본 특유의 조미료를 사용한 것이므로, 일본 요리로 여겨진다.",,,,
12,일본 요리는 재료의 품질과 외양을 위해 음식이 나오는 시기를 중요하게 생각한다. 2013년에는 유네스코 문화유산으로 아시아 요리로서는 최초로 등재되었다.,,,,
13,"일본도 한국과 사실상 마찬가지로 밥이 주식이며, 부식으로 반찬이 놓인다.",,,,
14,"또 섬나라이므로 신선한 어패류가 풍부하여 생선 요리가 다양하게 발달되어 있으며, 그 중에서도 생선회가 유명하다.",,,,
15,자극적인 조미료나 향신료를 많이 사용하지 않으므로 맛이 담백하다.,,,,
16,"모양과 빛깔, 그릇에 담는 기술이 뛰어나다.",,,,
17,"생선이 아닌 육류를 재료로 한 음식을 먹기 시작한 것은 메이지유신 이후인데, 이것은 675년 불교의 영향을 받은 덴무 천황이 칙서를 내려 육식을 금지한 후 1200년 만의 일이었다.",,,,
18,육식이 해금되었을 때에는 전통과 풍속으로 내려온 것처럼 육류를 불결하고 흉측한 것으로 여겨 꺼리는 사람이 많았다.,,,,
19,일본 가정식은 일본 가정에서 일반적으로 먹는 음식을 칭한다.,,,,
20,"재료의 측면에서 일본 전통요리의 간장과 미림, 다시국물, 사케를 섞은 양념을 사용한다.",,,,
21,혹은 미소나 참깨 페이스트 등을 사용하기도 한다.,,,,
22,"주로 사용되는 식재료는 돼지고기, 생선이 주로 사용되고, 다양한 종류의 채소를 활용한다.",,,,
23,"특히 일본인들은 가정에서 요리할 때도 지역 특산물, 시기에 맞는 제철 채소와 재료를 사용하는 것을 매우 중요하게 생각한다.",,,,
24,"일본 가정식은 절제되고, 자극적이지 않은 맛으로 요리되어 정갈하고 소박한 형태로 차려진다.",,,,
25,"재료 본연의 맛을 살리는 요리법이지만, 요리에 따라 매우 단순한 맛으로 느껴지기도 한다.",,,,
26,일본 가정에서 주로 사용되는 식재료는 다음과 같다.,,,,
27,"밥, 국, 쓰케모노를 기본으로 하며 여기에 주반찬과 밑반찬 등이 추가된다.",,,,
28,"일반적으로는 위의 기본 구성에, 3찬을 더해 차려진다.",,,,
29,반찬의 경우 가정식의 특성상 식사를 하는 개인의 취향에 따라 다양하게 구성될 수 있다.,,,,
30,일본 가정식의 조리 방법은 특별한 기술을 필요로 하지 않는다.,,,,
31,"재료의 특성에 맞게 굽거나, 조리거나, 삶거나, 튀기는 등 일반적인 조리를 가해주면 된다.",,,,
32,"그러나 재료 본래의 맛이 두드러지는 요리가 많기 때문에 재료의 비율과 계량이 매우 중요한데, 특히 요리에 사용되는 소스를 준비, 사용할 때 정확한 계량을 필요로 한다.",,,,
33,"일본의 식문화가 젓가락을 사용하는 문화이기에 보통 모든 재료가 작은 크기로 잘려서 조리되거나, 젓가락으로 집기 좋은 형태로 조리된다.",,,,
34,"현재 일상 생활에서 많이 쓰이는 가이세키료리의 식단은 무코쓰케와 시루모노, 하치사카나와 니모노로 구성된 4품의 곤다",,,,
35,"테(南犬立, 식단)를 기본으로 하고, 여기에 고돔부리를 더하면 5품의 곤다",,,,
36,"식단의 목적에 따라 4품, 5품, 7품, 9품 등 음식의 수를 늘리는데, 이 때 밥과 고노모노는 기본 음식으로 품수에는 넣지 않는다.",,,,
37,일본 요리에서 볼 수 있는 재료는 다음과 같다.,,,,
