,sentence,subject,object,label,memo
0,"중국 요리(中國料理, )는 동아시아에 있는 중국의 요리이다.",,,,
1,"중식(中食, ) 또는 청요리(淸料理)로도 부른다.",,,,
2,중국의 화교들이 세계 곳곳에 퍼져나가 세계 지역의 특성에 맞게 바꾼 요리를 말하기도 한다.,,,,
3,"중국은 국토가 아주 넓어 각 지방의 기후, 풍토, 산물 등에 각기 다른 특색이 있다.",,,,
4,"그에 따라 경제, 지리, 사회, 문화 등 다양한 요소가 작용하여 4대 요리를 형성하였다.",,,,
5,중국의 내륙 지방은 바다와 멀리 떨어져 있기 때문에 날생선 음식이 적고 가열 조리가 발달하였다.,,,,
6,"특수 재료로는 건조시킨 것이 많고, 종류도 풍부해서 이것을 불리는 기술이 뛰어나며, 특히 조리법이 매우 발달하였다.",,,,
7,기름과 녹말을 쓰는 경우가 많은데 그 사용 방법이 교묘하다.,,,,
8,"기름과 함께 파, 생강, 마늘을 사용하여 이 재료들의 특유한 향과 자주 성분으로 다른 재료의 좋지 않은 냄새를 제거시키고 동시에 기름의 느끼함을 완화시켜 준다.",,,,
9,또한 녹말을 사용하여 식품이 가진 맛을 보존시키며 부드러운 향기을 주어 맛의 조화를 이루고 음식이 따뜻함을 지속시키도록 한다.,,,,
10,조리 기구는 한 개의 냄비가 여러 가지 용도로 쓰여 편리하고 합리적이다.,,,,
11,음식은 하나의 그릇에 담아 돌려가며 덜어 먹는 형식이므로 서빙이 비교적 간단하다.,,,,
12,중국 요리 거의 대부분은 적당한 크기로 손질되어 바로 집어 먹을 수 있게 되어있다.,,,,
13,전통적으로 중국 문화는 식탁에서 칼과 포크를 이용하는 것을 야만스럽게 본다.,,,,
14,이는 이런 도구들이 무기로 여겨질 수도 있기 때문이다.,,,,
15,"아울러, 손님이 직접 음식을 자르는 것도 무례한 것으로 여긴다.",,,,
16,생선 요리는 보통 완전히 요리되어 나오며 젓가락으로 살코기 덩어리를 집어 먹는다.,,,,
17,다른 종류의 요리는 보통 발라내서 먹는데 이와 대조된다.,,,,
18,"가능한 신선하게 대접해야 한다는 것도 있지만, 더 중요한 것은 물고기는 문화적으로 완전함을 상징하므로 머리와 꼬리 부분이 있어야 한다고 여긴다.",,,,
19,수많은 식당에서 두 개의 숟가락을 이용하여 고기를 나눠 식탁에 올려 놓는 것이 일상화되어 있다.,,,,
20,닭고기 또한 중국 요리에 있어 자주 사용되는 재료이다.,,,,
21,"닭의 살코기를 여러 갈래로 찢어 놓아 벼슬까지 대접하기도 하는데, 이 또한 완전함을 상징한다.",,,,
22,중국 요리에는 요리 계통()이 있다.,,,,
23,4대 요리 계통은 다음과 같다.,,,,
24,8대 요리 계통은 4대 요리 계통에 다음을 더한 것이다.,,,,
25,식재를 다듬을 때는 다음과 같은 방법을 사용한다.,,,,
26,중화 요리는 다음과 같은 방법으로 조리를 한다.,,,,
27,채식주의는 서양과 사실상 마찬가지로 중국에서도 흔하지 않다.,,,,
28,중국 채식주의자들은 두부를 많이 먹는다.,,,,
29,중국의 채식주의자들 대다수가 불교 신자이며 생물의 고통을 줄이는 불교적 가르침을 따른다.,,,,
30,중국의 채식주의적 요리는 커다랗고 다양한 야채를 포함하고 있으며 고기를 모방한 음식도 몇 가지 넣는다.,,,,
31,"고기 모방 요리는 대부분 콩 단백질과 글루텐으로 만들어 오리, 닭, 돼지와 유사한 모양과 맛을 낸다.",,,,
32,콘작을 이용한 해산물 모방 요리도 존재한다.,,,,
33,"전통 중국 문화에서, 차가운 음료는 뜨거운 음식을 잘 소화시킬 수 없다는 믿음이 전해 내려오고 있다.",,,,
34,그러므로 차가운 물이나 청량 음료와 같은 액체는 전통적으로 식사 시간에는 취급하지 않는다.,,,,
35,"죽이 나오면, 뜨거운 차나 뜨거운 물 등의 음료가 식탁에 오른다.",,,,
36,차는 기름진 음식의 소화를 돕는다는 믿음이 있다.,,,,
37,이러한 전통에도 불구하고 오늘날 맥주와 청량 음료를 중화 음식과 함께 널리 받아들이고 있다.,,,,
38,중국 지방의 조그마한 식당의 많은 수가 찬 맥주에 핫 팟을 둔 렁단베이(冷淡杯)라는 음료를 취급하며 이는 전통과는 거리가 멀다.,,,,
39,중국에서 차는 아주 널리 사랑받고 있다.,,,,
40,"북방지역에서는 화차, 상해와 절강성 등 중부지방에서는 녹차, 남부지방에서는 우롱차를 즐겨마신다.",,,,
41,이외에도 중국내 생산량의 1/4을 차지하는 홍차와 백차 등도 있다.,,,,
42,"손님이 오면 주인은 거듭 석 잔을 권하는데, 처음 두 잔은 자유롭게 마셔도 되지만 마지막 잔은 한 번에 마시는 것이 예절이다.",,,,
43,황주는 3~4천 년의 역사가 있는 술로 곡식으로 제조하는 발효주이며 종류가 다양한데 홍여주가 유명하다.,,,,
44,백주는 천 년의 역사가 있는 곡주로 40도 이상의 증류주로 무색투명하며 특이한 향이 난다.,,,,
45,"우량이에, 마오타이가 유명하다.",,,,
46,"포도주도 2천 년의 역사가 있으며 장백산 포도주, 통화 포도주 등이 있다.",,,,
47,"중국의 맥주 생산량은 세계 3위를 차지한 적도 있는데, 청도맥주, 오성맥주가 유명하다.",,,,
