,sentence,subject,object,label,memo
0,"칠레 요리(Chile 料理, )는 남아메리카에 있는 칠레의 요리이다.",,,,
1,16세기 스페인계 정복자들이 정착한 이후로 생겨난 전통 요리와 유럽식 요리의 결합체를 칭한다.,,,,
2,물론 유럽의 영향이란 스페인의 영향이 절대적으로 우위에 있었지만 다양한 민족이 이민오게 되면서 다양한 요리법과 조리방식이 생겨났고 이탈리아와 독일식 요리방식이 대중에게 인기를 얻게 된다.,,,,
3,20세기에는 프랑스 요리가 요식업 계에 많은 영향을 주면서 칠레식 고급 음식문화가 생겨나게 된다.,,,,
4,칠레가 포도주로 유명한 것은 칠레 사람들이 그만큼 와인 문화를 즐겨하기 때문이기도 하다.,,,,
5,칠레 자국의 지역적 특성 탓에 각 지역마다 각국의 특성을 반영하고 있으며 전문가들은 크게 세 구역을 나눠 특징을 나눠놓고 있다.,,,,
6,"지역적 특성에는 원주민들의 영향이 크며 유럽의 영향이 컸다고는 하나 해산물, 육류할 것 없이 바탕에는 원주민의 요리 방식이 없다고 할 수 없다.",,,,
7,다만 후식이나 음료에서만큼은 외국의 영향이 절대적으로 큰 편이다.,,,,
8,국가 전체적으로 과일과 채소의 재배가 흔하다.,,,,
9,농산물 수입은 물론이고 수출이 많은 나라기도 한 칠레는 다양한 종류의 농산물 요리법도 그만큼 다채롭다.,,,,
10,칠레 요리의 가장 중요한 재료는 해산물이다.,,,,
11,지리적 특성 상 엄청나게 긴 해안선을 바탕으로 칠레 내에는 많은 해산물 요리가 존재한다.,,,,
12,"오징어나 서대기, 대구, 연어, 참치 등이 대표적이다.",,,,
13,우리나라의 젓과는 조금 다르지만 절여서 먹거나 튀겨서 먹는 요리도 많이 존재한다.,,,,
14,깔디요 데 꽁그리오 라는 대중적인 요리는 생선으로 만든 스튜이다.,,,,
