,sentence,subject,object,label,memo
0,"터키 요리(Turkey 料理, )는 서남아시아·동남유럽에 있는 터키의 요리이다.",,,,
1,"주로 오스만 제국의 음식에서 기원한 요리로, 중앙 아시아, 캅카스, 중동, 지중해, 발칸 반도 지역의 요리가 융합되고 발전한 터키의 요리이다.",,,,
2,뿐만 아니라 서유럽의 요리의 영향도 받았다.,,,,
3,"그리고 유럽과 아시아의 교차로에 있었기 때문에 예로부터 다양한 민족들의 식습관을 수용할 수 있었고, 이것이 터키 요리의 원동력이 되었다.",,,,
4,"오스만 제국은 광대한 영역을 갖고 있었기 때문에 중동 요리, 튀르크 족의 중앙아시아 요리, 그리스 요리, 발칸 요리, 캅카스 요리, 북 아프리카 요리 등이 융합됐다.",,,,
5,터키 요리는 지역에 따라서도 굉장히 다양하다.,,,,
6,"이스탄불, 부르사, 이즈미르 같은 에게해 연안에서는 오스만 요리가 계승이 되어 있다.",,,,
7,"이 지방에서는 향신료를 적게 넣고, 쌀에 불거나 쾨프테를 같이 먹는 것을 선호하고, 다양한 튈뤼(türlü)라고 불리는 채소 스튜와 가지 요리, 돌마스 등을 식사로 먹는다.",,,,
8,"또한, 생선 요리를 많이 먹는 것도 특징이다.",,,,
9,흑해 지역의 요리에는 주로 생선이 많이 사용된다.,,,,
10,"특히, 흑해산 안초비인 함시(hamsi)와 옥수수로 만든 요리가 많이 쓰인다.",,,,
11,"동남아나톨리아 지역의 샨르우르파, 가지안테프, 아다나 지역의 요리는 다양한 케밥 요리와 전채 요리인 메제(meze), 그리고 바클라바, 퀴네페, 카다으프 같은 디저트로 유명하다.",,,,
12,올리브가 많이 경작되는 터키 서부지방의 요리에서는 올리브 오일이 가장 주로 사용되는 기름이다.,,,,
13,"에게해 지역, 마르마라 지역, 지중해 지역의 요리는 다양한 채소, 향신료, 생선을 많이 사용한다.",,,,
14,"중앙아나톨리아 지역에는 독특한 식문화가 발달했는데, 케슈케크(Keşkek), 카이세리의 만트, 괴즐레메 등이 이 지역에서 유명한 음식이다.",,,,
15,"지역의 주요 요리의 명칭은 그 지역명이나, 특별한 테크닉 또는 요리재료를 참고해 명명한다.",,,,
16,예를 들면 우르파 케밥(Urfa kebap)과 아다나 케밥의 차이는 꼬치의 굵기와 매운맛의 차이다.,,,,
17,"우르파 케밥은 아다나 케밥에 비해 덜 맵고, 꼬치 굵기가 더 굵다.",,,,
18,"프랑스 요리, 중국 요리와 더불어 세계 3대 요리로 평가받는다.",,,,
19,터키인들은 주로 아침 식사를 꽤 풍성하게 먹는 편이다.,,,,
20,"터키의 아침 식사에는 여러 종류의 치즈(흰 치즈나 카세리 치즈 등), 버터, 올리브, 달걀, 토마토, 오이, 잼, 꿀, 카이막을 먹는다.",,,,
