,sentence,subject,object,label,memo
0,"티베트 요리(Tibet 料理, )는 동아시아에 있는 티베트의 요리이다.",,,,
1,국경을 맞댄 다른 지역과는 상당히 다른 요리의 특징을 보인다.,,,,
2,그도 그럴 것이 티베트 지역의 해발고도가 너무 높아서 쌀을 제외하고는 다른 식물이 자라기 어렵기 때문이다.,,,,
3,가장 중요한 작물은 보리이다.,,,,
4,가루 반죽이 보리로 만들어지며 티베트에서는 잠바라고 불린다.,,,,
5,잠바는 티베트에서 가장 잘 볼 수 있는 음식이기도 한데 국수나 모모라고 불리는 고기 만두로 만들기도 한다.,,,,
6,"육류 음식은 야크, 염소 혹은 양고기이며 말려서 먹거나 향신료를 첨가해 매운 수프로 먹기도 한다.",,,,
7,겨자씨도 티베트 일대에서 제배 되는데 겨자가 티베트 요리에도 자주 등장한다.,,,,
8,"야크 젖으로 만든 발효유, 버터, 치즈도 티베트 사람들이 자주 찾는 음식이다.",,,,
9,이 중에 야크 젖 발효유는 부유한 사람들의 전유물과도 같다.,,,,
10,최근에는 서양에서 들어오는 수입품으로 만든 요리도 등장하고 있지만 대개 작은 식당에서는 도시든 시골이든 관계 없이 토속적인 음식이 제공된다.,,,,
11,"한편, 라싸 지역 인근의 큰 마을이나 대도시에서는 중국식(신장 웨이우얼 자치구 식) 음식도 많이 생겨나고 있다.",,,,
