,sentence,subject,object,label,memo
0,"한국 요리(韓國料理) 또는 조선 요리(朝鮮料理, )는 동아시아에 있는 한국(조선)의 요리이다.",,,,
1,한국에서 발달한 고유하고도 전통적인 음식을 흔히 한식(韓食)으로도 부른다.,,,,
2,복잡한 궁중 요리에서부터 지방의 특색 요리와 현대의 맛있는 요리에 이르기까지 재료와 조리법이 매우 다양하다.,,,,
3,현대 한국 요리는 남한 요리와 북조선 요리로 나누기도 한다.,,,,
4,"전통적인 한국 정식은 밥, 국, 김치 등과 함께 나오는 많은 반찬들로 이루어진다.",,,,
5,"한국 요리는 주로 쌀을 기반으로. 일반적으로 사용되는 성분 포함 참기름, 들기름, 고추장, 된장, 간장, 소금, 마늘, 생강, 고춧가루, 다시마 국물 등으로 맛을 낸다.",,,,
6,김치는 거의 항상 모든 음식에서 제공된다.,,,,
7,"식단은 계절별로 다양한데, 전통적으로 겨울 동안에는 마당에 구멍을 파고 땅 속에 묻어 놓은 장독에 저장된 김치와 그 밖에 절인 채소들에 많이 의존했다.",,,,
8,그러나 현재는 계절에 상관없이 거의 대부분의 식단을 맛볼 수 있다.,,,,
9,"한국은 기후와 풍토가 농사에 적합하여 일찍이 신석기시대 후에 잡곡 농사로 농업이 시작되었고, 그 후 벼농사가 전파되었다.",,,,
10,"이후 곡물은 한국 음식문화의 중심이 되었고, 삼국시대 후기부터 밥과 반찬으로 주식, 부식을 분리한 한국 고유의 일상식 형태가 형성되었다",,,,
11,"반상의 종류로는 3첩, 5첩, 7첩, 9첩, 12첩 반상이 있다.",,,,
12,"밥, 죽, 떡, 국수, 만두, 수제비, 술 등의 곡물 음식이 발달하였고 콩으로 메주를 쑤어 장을 담그는 발효 음식도 발달 하였다",,,,
13,"재배 채소뿐만 아니라, 산야에 자생하는 산나물, 들나물 등 채소의 종류가 다양하여 생채, 쌈, 나물, 김치로 만들어 식탁을 계절에 따라 변화있게 차릴 수 있었다.",,,,
14,"예로부터 약식동원(藥食同原, 약과 음식은 그 근본이 같다.)의 식관념 속에 생강, 계피, 쑥, 오미자, 구기자, 더덕, 도라지, 율무, 모과, 석류, 유자, 인삼 등 약으로 쓰이는 재료가 음식의 조리에 많이 이용되고 있다.",,,,
15,"삼계탕, 쑥떡, 생란, 더덕, 생채 등 여러 가지 음식과 생강차, 인삼차, 모과차, 유자차, 구기자차, 결명자차, 율무차 등의 차와 오미자 화채 등의 다양한 음료도 있다.",,,,
16,"조미료와 향신료도 약념(藥念)이라 하여 파, 마늘, 생강, 고추, 참기름, 깨소금 등이 약과 같은 효능이 있는 것으로 여겨졌다.",,,,
17,"한국인의 일상식은 밥을 주식으로 하고, 여러 가지 반찬을 곁들여 먹는 식사 형태이다.",,,,
18,"주식은 쌀만으로 지은 쌀밥과 조, 보리, 콩, 팥 등의 잡곡을 섞어 지은 잡곡밥을 기본으로 한다.",,,,
19,"부식은 국이나 찌개, 김치와 장류를 기본으로 하고, 육류, 어패류, 채소류, 해조류 등을 이용해서 반찬을 만들었다.",,,,
20,이렇게 밥과 반찬을 같이 먹는 식사 형태는 여러 가지 식품을 골고루 섭취함으로써 영양의 균형을 상호 보완시켜주는 합리적인 식사 형식이다.,,,,
21,"주식으로는 밥, 죽, 국수, 만두, 떡국, 수제비 등이 있고, 부식으로는 국, 찌개, 구이, 전, 조림, 볶음, 편육, 나물, 생채, 젓갈, 포, 장아찌, 찜, 전골, 김치 등 가지수가 많다.",,,,
22,"이러한 일상 음식 외에 떡, 한과, 엿, 화채, 차, 술 등의 음식도 다양하다.",,,,
23,"또 저장 발효 식품인 장류, 젓갈, 김치 등이 다양하게 발달하였다.",,,,
24,"한국 음식은 매일매일 반복되는 일상식과, 일생을 살아가는 동안에 거치는 통과 의례 음식, 풍년과 풍어를 기원하는 풍년제와 풍어제, 부락의 평안을 비는 부락제 등의 행사에 따라 차려지는 행사 음식이 있으며, 또 고인을 추모하여 차리는 제사 음식이 있다.",,,,
25,"이런 의례 음식에는 특별한 식품이나 음식을 빠짐없이 차리는데, 거기에는 기원, 복원, 외경, 존대의 뜻이 따른다.",,,,
26,또한 계절에 따라 그때그때 철에 나는 음식을 이용하여 시식(時食)을 즐겼다.,,,,
27,한국의 절식 풍속은 인간과 자연과의 지혜로운 조화를 이룬 것으로 영양 상으로도 지극히 과학적인 것이 많다.,,,,
28,"예를 들어 정월대보름에 호두를 깨 먹으면 일년 내내 부스럼이 안 난다는 것은 역시 필수 지방산이 부족할 때 이를 공급하여 피부가 헐거나 버짐, 습진을 막는 데 효과적이라는 과학적 뒷받침을 가지고 있다.",,,,
29,입춘에는 새 봄에 나는 향채를 조리해 먹음으로써 봄맞이하는 기분뿐만 아니라 생채가 부족했던 겨울을 지내고 난 후 비타민 C를 보충해주는 합리화된 식습관이라 할 수 있다.,,,,
30,"향토음식은 그 지역 공간의 지리적, 기후적 특성을 갖고 생산되는 지역 특산물로 그 지역에서만 전수되어 오는 고유한 조리법으로 만들어진 토속 민속음식이라 할 수 있다.",,,,
31,"즉, 향토음식은 고장마다 전승되는 세시풍속이나 통과의례 또는 생활 풍습 등은 문화적 특질 뿐 아니라 향토음식이 지니고 있는 영양적 의의도 크다고 본다.",,,,
32,대표적으로 홍어회와 과메기를 들 수 있다.,,,,
33,대가족 중심의 가정에서는 어른을 중심으로 그릇과 밥상이 모두 1인용으로 발달해 왔다.,,,,
34,그러나 핵가족 중심으로 바뀐 지금은 온 가족이 함께 두레상에서 개인용 접시에 나누어 먹는 형식으로 되었다.,,,,
35,음식은 처음부터 상 위에 전부 차려져 나오는 공간 전개형을 원칙으로 하였다.,,,,
36,"쟁첩에 담는 반찬 수에 따라 3첩, 5첩, 7첩, 9첩, 12첩 반상이라는 독특한 형식을 갖춘다.",,,,
37,한국인의 일상식은 밥과 반찬으로 구성되는 주 부식 분리형 양식이 삼국시대 이후로 하루 세끼 정규식사의 기본형으로 정착되어 왔다.,,,,
38,"때로는 점심에 국수장국으로 차린 면상(麵床)이나 비빔밥, 장국밥과 같은 일품요리로 식사를 할 때가 있으나 이것은 하나의 별식(別食)차림이다.",,,,
39,"밥상에서는 밥이 주격 음식이고, 반찬은 부격 음식이어서 반찬은 밥에 맞추어 선정된다.",,,,
40,"반상차림은 식품의 배합, 간의 농담(濃淡), 음식의 냉온(冷溫), 색상의 배합 등 여러 면에서 합리성과 조합성을 이루고 있다.",,,,
41,"반상차림에는 3첩, 5첩, 7첩, 9첩 반상이 있고, 조선시대 궁중에서는 왕에게 12첩반상을 차리었다.",,,,
42,"가장 간단한 3첩반상은 국, 김치 이외에 나물류와 생채, 조림이나 구이를 차린다.",,,,
43,"간단한 3첩반상에서도 밥, 국, 김치, 장 외에 채소, 육류, 어류 등이 골고루 배합된다.",,,,
44,"5첩반상에는 밥, 국, 김치, 장 외에 반찬 5가지, 찌개 한 가지가 오른다. 9첩반상에는 밥, 국, 김치, 장 외에 반찬 9가지, 찌개 한 가지, 찜 한 가지가 오른다.",,,,
45,왕의 수라상은 12첩반상이었다.,,,,
46,"왕은 대원반에 앉고 곁반으로 소원반, 책상반이 곁들여진다.",,,,
47,"원반에는 흰 수라, 곽탕, 장 3가지, 김치 3가지, 반찬 7가지, 뼈를 발라내는 그릇인 토구, 은잎사시 2벌이 놓인다.",,,,
48,"수저 하나는 국용, 다른 하나는 동치미용이고 젓가락 하나는 생선용, 다른 하나는 채소용이다.",,,,
49,"소원반에는 팥수라, 전골합, 찜, 반찬 두 가지, 찻주전자, 쟁반과 차주발, 사기 빈 접시, 은공기 그리고 수저 3벌이 놓인다.",,,,
50,팥수라는 흰 수라를 들지 않고 팥수라를 들고 싶을 때 바꾸어 놓는 것이다.,,,,
51,수저 3벌은 기미상궁이 검식과 음식을 더는 데 사용한다.,,,,
52,식사가 끝난 다음 차주발에 차를 따라서 쟁반에 받쳐 올린다.,,,,
53,"곁반인 책상반에는 곰탕, 조치 2, 전골냄비, 더운 구이가 놓인다.",,,,
54,팥수라를 먹을 때는 곽탕 대신 곰탕을 옮겨 놓는다.,,,,
55,"식사 예절은 지역이나 가정에 따라 조금씩 다를 수 있고, 현재는 지키지 않는 것이 대부분이다.",,,,
56,조선시대에 수도인 한양이 있었던 곳으로 그 때문에 많은 물자가 오가는 곳이었다.,,,,
57,이로 인해 온갖 식재료들을 사용한 음식들이 많다.,,,,
58,"경상도는 남해와 동해에 좋은 어장을 가지고 있어 해산물이 풍부하고, 남북도를 크게 굽어 흐르는 낙동강 주위의 기름진 농토에서 농산물도 넉넉하게 생산된다.",,,,
59,이곳에서는 고기라고 하면 물고기를 가리킬 만 큼,,,,
60,"생선을 많이 먹고, 해산물회를 제일로 친다.",,,,
61,음식은 멋을 내거나 사치스럽지 않고 소담하게 만든다.,,,,
62,싱싱한 물고기에 소금간을 해서 말려서 굽는 것을 즐기고 바닷고기로 국을 끓이기도 한다.,,,,
63,"곡물음식 중에는 국수를 즐기며, 밀가루에 날콩가루를 섞어서 반죽하여 홍두깨나 밀대로 얇게 밀어 칼로 썰어 만 드는 칼국수를 제일로 친다.",,,,
64,"장국의 국물은 멸치나 조개를 많이 쓰고, 제물국수를 즐긴다.",,,,
65,음식의 맛은 대체로 간이 세고 매운 편이다.,,,,
66,1958년 서울 청진동에 문을 연 '장원'은 광주에서 같은 이름으로 요정을 하던 음식 솜씨로 유명한 주정순이 서울에 낸 요정으로 1964년에는 한정식 식당으로 바뀌었다.,,,,
67,요정 장원의 음식은 화려한 양념과 산해진미를 겸비한 전라도 한정식이었다.,,,,
68,유홍준 교수는 인사동의 영희네집을 한국의 3대 한정식집으로 꼽았다.,,,,
69,"나머지 두 곳은 강진의 해태식당, 그리고 해남의 천일식당이다.",,,,
70,해방 후 서울에서 고관들이 먹던 궁중요리는 깔끔한 맛을 강조하여 양념을 많이 쓰지 않았지만 전라도 음식은 맵고 짠 편이다.,,,,
71,명월관의 궁중요리는 점차 사라지고 장원에서 일하던 아주머니들이 운영하는 요정이나 요릿집들은 전라도식으로 변해갔다.,,,,
72,섬인 만큼 해산물을 활용한 요리가 많다.,,,,
73,"제주도에서는 특히 김이나 미역들이 많고, 섬이라서 해녀들이 물고기와 해산물을 잡는 문화가 있다.",,,,
74,"현재에는 보기 드물지만, 전에는 해녀들이 다이빙 옷을 입고 바닷가에서 해산물들을 걷어내어서 바구니에 넣는 모습을 쉽게 볼 수 있다.",,,,
75,평안도는 메밀로 만든 냉면 국수에 쇠고기 육수를 이용한 물냉면이 유명하다.,,,,
76,한국 전쟁 이후 이남에서 즐겨 먹는 물냉면은 평안도식 냉면을 말한다.,,,,
77,녹두를 갈아 두툼하게 만든 빈대떡은 술안주로 적합하다.,,,,
78,"돼지고기, 두부, 마늘, 파 등을 넣은 만두는 겨울에 즐겨 먹는 음식으로 쇠고기국이나 갈비국에 넣어 물만두로 겨울철 특히 설날에 주로 먹는다.",,,,
79,"양념의 관점에서 보면, 이남이나 함경도의 음식에 비해 맵거나 짜지 않다.",,,,
80,"황해도는 연백평야가 펼쳐진 곡창으로, 특히 잡곡이 많은데, 그 중에서도 조는 알이 굵고 구수하여 남도지방에서 보리를 먹듯이 메조를 많이 먹는다.",,,,
81,그리고 사료가 풍성하여 닭고기의 맛이 특히 좋아서 어느 음식이든지 닭고기를 많이 쓴다.,,,,
82,"식성은 짜지도 싱겁지도 않아 충청도와 유사하며, 구수하고 소박한 것을 즐겨 겉모양을 내는 일이 별로 없다.",,,,
83,유명한 음식으로는 잡곡밥과 누름적이다.,,,,
