,sentence,subject,object,label,memo
0,"한국식 중국 요리(韓國式中國料理)는 중국 요리가 기원이지만, 한국의 식재료를 이용해 한국인의 입맛에 맞게 토착화된 음식을 말한다.",,,,
1,"대표적인 예로는 짜장면, 짬뽕, 탕수육 등이 있다. 1970년대까지 청요리(淸料理)로도 흔히 불렸다.",,,,
2,한국식 중국 요리는 한국과 지리적으로 가까운 중국의 북방 요리(특히 산둥 요리)의 영향을 많이 받았다.,,,,
3,그러나 일부 한국식 중국 요리는 중국의 음식이라기보다 한국의 음식에 더 가깝다.,,,,
4,"한국에서 짜장면은 대표적인 배달 음식이며, 한국식 중국 음식점의 음식은 거의 대부분 배달이 가능하다.",,,,
5,"여행자나 보부상이 이용하던 주막 외에는 특별한 외식(外食) 문화가 별로 없었던 조선에서도 1876년 개항 이후에는 본격적으로 외식업(外食業)이 등장하게 되었는데, 그 맨 앞에 섰던 것이 중국 요리집이었다.",,,,
6,초창기의 중국 요리집은 요즘 대중들이 흔히 중국집이라고 부르는 식당과는 달리 특수한 권력층만이 찾는 전통적인 중국식 식당이었다.,,,,
7,"1884년 조선과 청 사이에 인천구화상지계장정이 체결되면서 현 인천 차이나타운 자리에 청나라 조계지가 생겼으며, 이후 1898년 산둥반도에서 의화단 운동이 일어나며 많은 산둥 사람이 당시 산둥과 인천 사이에 개설되어 있던 정기 항로를 통해 인천으로 이주해 정착하게 되었다.",,,,
8,"일제 강점기인 1920년대에 조선에 살던 화교들이 청요리집을 운영했으며, 조선총독부 자료에 따르면 1922년 전국 주요 도시의 화교 2224가구 중 30%가 중국 음식점을 운영했고, 1926년에는 수가 더 늘어 중국 음식점이 1200여 호, 종사자가 3,800명 정도에 달했다.",,,,
9,"당시의 중국식당은 한국에서는 극히 드물던 2층으로 되어 있는 게 보통이었는데, 1층에는 홀이 있고 2층에는 방이 있었다.",,,,
10,술 접대를 하는 '기녀'가 있는 곳도 있었다.,,,,
11,"요리도 짜장면이나 짬뽕 한 그릇이 아니라, 일정한 순서에 맞추어 코스요리가 제공되었다.",,,,
12,"일제 강점기 경성부의 아서원, 금곡원, 대관원, 사해루 같은 중국 요리집은 부유한 일본인과 조선인만이 드나들 수 있던 최고급 식당이었다.",,,,
13,"당시에는 중국 요리로 불리기 보다는 청요리(淸料理)라고 불렸는데, 청요리는 중국의 전통에 따라 집에서 불러 먹을 수 있었고 이것이 변형된 것이 지금의 '철가방'이다.",,,,
14,1950년부터 1960년대까지 대한민국의 정치인들은 화교들이 운영하는 중국 요리집에서 밀실 정치를 하곤 했다.,,,,
15,정치인들이 중화요리집을 선호한 이유는 길게 대화를 나눌 수 있고 보안 유지에 용이하기 때문이었다.,,,,
16,"코스 별로 요리가 한 가지씩 나오는 중국 요리집은 요리가 나오기 전까지 오랜 시간 동안 이야기를 나누기 적당했고, 식사 장소는 독립된 한 칸의 방이었기 때문에 이야기한 내용이 외부로 새어나갈 위험이 적었다.",,,,
17,"이때 유명했던 음식점은 서울에 아서관, 태화관, 대려도, 중화반점, 인천에 공화춘 등이 있었다.",,,,
18,대한민국에서 대중적으로 인기를 얻은 짜장면과 짬뽕 등 한국식 중국 요리는 화교들이 많이 살던 인천광역시에서 개발되었다.,,,,
19,박정희 정부는 화폐개혁과 외국인 토지 소유 금지를 통해 화교의 경제력을 약화시켰는데 이 때문에 많은 화교들이 한국을 떠나거나 그 주업이 외식업으로 국한되었다.,,,,
20,1960년대 ~ 1970년대 정부가 분식을 장려하고 비교적 짧은 조리시간이 산업화 시대의 요구와 맞아떨어지면서 짜장면 등 중국 요리는 대중적인 외식요리로 자리 잡았다.,,,,
21,대중적인 중국 음식점이 기하급수적으로 늘면서 현재의 중국 음식점은 화교보다는 한국인이 소유와 운영을 맡고 있는 경우가 대부분이다.,,,,
22,대한민국에 있는 대부분의 중국 음식점에서 가장 보편적으로 만들어 팔고 있는 품목은 아래와 같다.,,,,
23,한국의 중국 음식점에서는 다른 나라의 중국 음식점에서는 제공되지 않는 어느 곳에 가더라도 공통적으로 나오는 밑반찬이 있다.,,,,
24,"대표적인 것이 단무지, 춘장과 양파가 있다.",,,,
