,sentence,subject,object,label,memo
0,"헝가리 요리(Hungary 料理, )는 중앙유럽에 있는 헝가리의 요리이다.",,,,
1,"헝가리와 헝가리인의 전통 음식은 주로 고기, 계절 채소, 과일, 신선한 빵, 유제품, 치즈를 기본으로 한다.",,,,
2,"헝가리 요리는 대부분 중앙유럽의 대륙식 요리로서 양귀비의 사용 빈도, 케피르와 크바르크에 대한 인기가 높은 동유럽 요리의 일부 요소가 결합되어 있다.",,,,
3,"전형적인 향신료로 사용되는 파프리카, 후추는 종종 헝가리와 연관되어 있으며, 소수의 요리에 두드러지게 사용된다.",,,,
4,"전형적인 헝가리 음식은 유제품, 치즈, 육류를 기반으로 하며, 이웃한 체코 요리, 폴란드 요리, 슬로바키아 요리의 음식들과 유사하다.",,,,
5,"닭고기, 돼지고기, 쇠고기가 일반적이며, 칠면조고기, 오리고기, 양고기, 생선, 사냥고기는 특별한 경우가 아니면 자주 먹지는 않는다.",,,,
6,"헝가리는 또한 돼지고기 뿐만 아니라 가금류, 쇠고기 등으로 생산되는 고급스럽고 상대적으로 저렴한 살라미, 소시지가 생산되는 것으로 유명하다.",,,,
7,빵은 헝가리인의 식단에서 가장 중요하고 기본적인 부분이다.,,,,
8,이는 모든 식사나 종종 주 요리의 반찬 형식으로 먹는다. 1990년에 공산주의 체제가 붕괴되기 전에는 흰 빵이 주식이었다.,,,,
9,빵 뿐만 아니라 짭짤하거나 달콤한 빵과 페이스트리와 같이 창의적인 형식을 띤 다양한 종류의 빵이 최근 몇 년 사이에 급증했다.,,,,
10,이들은 헝가리 전역의 수많은 빵집에서 찾을 수 있다.,,,,
11,"헝가리인들은 주 요리를 반찬이 필요한 지, 필요하지 않은 지 2가지 유형 가운데 하나로 나눈다.",,,,
12,반찬을 필요로 하는 사람들에게는 반찬 없이 먹는 것은 매우 이례적인 일일 것이다.,,,,
13,반대로 반찬이 요구되지 않는다면 주문하는 것은 매우 이례적일 것이다.,,,,
14,반찬은 가장 흔히 다른 스타일로 준비된 감자이지만 쌀이나 찐 야채도 인기다.,,,,
15,"어떤 음식들은 관습적인 반찬을 가지고 있는 반면(예를 들어 치르케퍼프리카시(Csirkepaprikás, 파프리카 닭고기 요리)는 거의 항상 노케들리(Nokedli, 국수)와 함께 먹음), 다른 음식들은 완전히 유연하다(예를 들어 란토트 서이트(Rántott sajt, 치즈튀김)는 어떠한 종류든 먹을 수 있음). 일부 헝가리 요리들은 토핑이나 빵이 거의 필수적이라고 여겨지는 측면이 있는데, 예를 들어 사워 크림과 빵 속에 퇼퇴트 카포스터(Töltött káposzta, 양배추말이)를 넣는 경우가 있다.",,,,
16,최근 몇 년 동안 요리사들은 헝가리의 음식을 창의적인 예술 형식으로 만들어 과거에는 존재하지 않았던 새로운 재료와 준비 스타일을 추가했다.,,,,
